Geneid,RNA-seq_Gametocyte_WT_1,RNA-seq_Gametocyte_WT_2,RNA-seq_Gametocyte_WT_3,RNA-seq_gSNF2_KO_1,RNA-seq_gSNF2_KO_2,RNA-seq_gSNF2_KO_3
PBANKA_0705000,358,277,50,76,200,45
PBANKA_0705100,1500,960,329,153,524,75
PBANKA_0705200,1090,888,623,545,1690,232
PBANKA_0705300,328,199,70,32,127,25
PBANKA_0705400,307,255,110,103,204,54
PBANKA_0705500,1950,1461,475,183,744,62
PBANKA_0705600,61183,24081,2324,5024,18262,3886
PBANKA_0705700,815,285,124,100,314,53
PBANKA_0705800,2976,1324,446,685,1259,439
PBANKA_0705900,2008,1607,564,661,1301,355
PBANKA_0706000,1087,602,200,109,324,85
PBANKA_0706100,185,237,66,50,141,38
PBANKA_0706200,609,301,122,76,208,45
PBANKA_0706300,1424,547,116,111,456,80
PBANKA_0706400,6738,2289,710,962,2630,910
PBANKA_0706500,102,124,59,43,68,37
PBANKA_0706600,287,265,81,64,165,29
PBANKA_0706700,12856,10626,2909,2739,7353,1597
PBANKA_0706800,2103,921,352,325,770,175
PBANKA_0706900,665,540,350,331,1792,135
PBANKA_0707000,152,91,33,64,121,34
PBANKA_0707100,121923,81337,25031,22065,59904,12977
PBANKA_0707200,3139,1491,516,174,486,85
PBANKA_0707300,6687,2809,884,1295,2806,660
PBANKA_0707400,4781,3547,1065,1894,2568,914
PBANKA_0707500,1439,1307,389,466,810,292
PBANKA_0707600,1502,488,191,170,577,137
PBANKA_0707700,3045,2133,423,315,1522,256
PBANKA_0707800,687,515,180,102,489,69
PBANKA_0707900,318,181,30,30,203,56
PBANKA_0708000,2206,1295,562,547,1060,314
PBANKA_0708100,4133,2685,846,441,1392,341
PBANKA_0708200,4217,2405,820,396,1781,281
PBANKA_0708400,570,362,152,181,421,134
PBANKA_0708500,1557,1178,433,365,762,281
PBANKA_0708600,496,282,97,79,222,63
PBANKA_0708700,153,97,61,62,98,35
PBANKA_0708800,2728,1794,676,521,1353,289
PBANKA_0708900,477,476,220,189,965,120
PBANKA_0709000,4847,6106,6483,11434,21527,3780
PBANKA_0709100,3320,1774,749,179,1815,140
PBANKA_0709200,663,363,169,121,302,57
PBANKA_0709300,93,27,22,6,34,4
PBANKA_0709400,1512,983,409,194,1123,106
PBANKA_0709500,4567,2904,825,1623,2234,928
PBANKA_0709600,3142,3295,931,352,1757,162
PBANKA_0709700,2270,1779,479,548,1355,515
PBANKA_0709800,844,412,180,98,266,55
PBANKA_0709900,337,239,99,178,428,129
PBANKA_0710000,655,226,72,115,230,64
PBANKA_0710100,9438,3860,1231,1702,3309,801
PBANKA_0710200,1853,1503,553,318,891,134
PBANKA_0710300,1717,589,247,164,462,92
PBANKA_0710400,364,141,65,72,165,69
PBANKA_0710500,1430,410,159,217,611,121
PBANKA_0710600,2110,1154,425,404,1033,336
PBANKA_0710700,1312,797,250,178,630,71
PBANKA_0710800,7125,2993,460,1449,3255,742
PBANKA_0710900,618,475,176,97,540,52
PBANKA_0711000,6177,1638,488,468,1378,134
PBANKA_0711100,399,182,80,44,176,36
PBANKA_0711200,2143,2286,648,544,1447,400
PBANKA_0711300,2192,1580,394,289,1128,224
PBANKA_0711400,331,244,87,58,175,87
PBANKA_0711500,533,157,88,92,217,79
PBANKA_0711600,180,116,50,44,101,44
PBANKA_0711700,700,374,136,101,397,59
PBANKA_0711800,3061,1519,298,458,935,344
PBANKA_0711900,37858,35302,9255,15934,39346,9285
PBANKA_0712000,2250,1558,477,163,1153,155
PBANKA_0712100,9254,4416,1231,1416,2716,1071
PBANKA_0712200,30562,24472,8313,7482,19636,3761
PBANKA_0712300,3485,1990,923,549,2060,294
PBANKA_0712400,767,549,197,126,380,83
PBANKA_0712500,494,302,117,181,488,83
PBANKA_0712600,26925,15600,4644,6510,9103,4329
PBANKA_0712700,340,358,159,178,470,144
PBANKA_0712800,1629,812,289,263,559,195
PBANKA_0712900,49762,63739,13791,18005,60555,8066
PBANKA_0713000,653,607,297,316,811,163
PBANKA_0713100,2742,1425,437,427,1149,272
PBANKA_0713200,6984,4018,937,1048,2620,703
PBANKA_0713300,934,751,456,498,1009,320
PBANKA_0713400,372,208,141,51,158,18
PBANKA_0713500,4353,1699,439,566,2293,560
PBANKA_0713600,612,221,83,89,386,130
PBANKA_0713700,946,302,110,155,513,93
PBANKA_0713800,605,230,78,55,176,40
PBANKA_0713900,1037,338,167,96,282,63
PBANKA_0714000,81589,88764,25707,63043,110386,25312
PBANKA_0714100,2438,3485,867,1666,3562,638
PBANKA_0714200,6398,3359,749,1067,2093,967
PBANKA_0714300,4763,5626,1811,2501,5156,1164
PBANKA_0714400,3971,2096,648,369,1432,175
PBANKA_0714500,1528,440,186,25,107,34
PBANKA_0714600,2295,1797,439,519,1088,367
PBANKA_0714700,139,81,46,28,57,14
PBANKA_0714800,325,271,67,51,183,39
PBANKA_0714900,93,44,18,15,33,21
PBANKA_0715000,6125,2128,492,808,3014,772
PBANKA_0715100,113,38,21,41,68,30
PBANKA_0715200,3625,2382,747,689,1534,499
PBANKA_0715300,1937,1041,442,220,879,163
PBANKA_0715400,2004,1823,673,378,1800,224
PBANKA_0715500,3121,2170,792,572,1984,220
PBANKA_0715600,3050,2018,904,887,1960,498
PBANKA_0715700,869,748,210,233,495,150
PBANKA_0715800,1031,583,196,169,454,105
PBANKA_0715900,3114,910,258,322,942,161
PBANKA_0716000,16635,6523,1083,1521,5035,1381
PBANKA_0716100,1289,473,197,167,506,231
PBANKA_0716200,1070,1122,211,190,695,104
PBANKA_0716300,387,241,53,51,178,34
PBANKA_0716400,936,485,182,46,125,34
PBANKA_0716500,9085,7234,2661,1713,5006,2684
PBANKA_0716600,4679,3835,950,1067,1952,725
PBANKA_0716700,5078,1875,559,376,1803,226
PBANKA_0716800,10,21,0,4,19,0
PBANKA_0716900,1130,1427,414,659,1035,289
PBANKA_0717000,852,495,224,181,429,108
PBANKA_0717100,148,75,32,70,94,58
PBANKA_0717200,9947,3292,970,860,2645,546
PBANKA_0717300,14320,7130,1599,1938,4488,1263
PBANKA_0717400,492,168,70,51,233,36
PBANKA_0717500,670,407,131,173,346,121
PBANKA_0717600,1176,853,327,214,774,69
PBANKA_0717700,1540,1051,361,401,944,191
PBANKA_0717800,6799,3637,1159,1312,2472,1065
PBANKA_0717900,1829,1469,419,528,1685,293
PBANKA_0718000,107,70,15,7,64,18
PBANKA_0718100,572,295,104,107,285,93
PBANKA_0718200,162,215,61,43,108,33
PBANKA_0718300,524,179,36,94,182,75
PBANKA_0718400,4443,1839,547,492,1276,230
PBANKA_0718500,980,709,221,129,541,167
PBANKA_0718600,540,84,39,53,197,37
PBANKA_0718700,1207,588,161,64,382,26
PBANKA_0718800,4651,3361,2016,1627,4720,625
PBANKA_0718900,2661,694,170,207,706,168
PBANKA_0719100,3354,1433,464,279,1298,255
PBANKA_0719200,1406,591,201,141,429,124
PBANKA_0719300,2087,818,343,687,1107,451
PBANKA_0719400,2183,875,306,240,909,187
PBANKA_0719500,11441,3564,518,1943,4277,1209
PBANKA_0719600,1115,464,182,124,583,50
PBANKA_0719700,11383,4558,1287,592,2099,457
PBANKA_0719800,8949,4571,1615,843,4563,447
PBANKA_0719900,1695,908,271,131,696,110
PBANKA_0720000,4546,2565,891,581,1518,620
PBANKA_0720100,17112,4705,483,666,2414,234
PBANKA_0720200,3414,854,322,231,852,175
PBANKA_0720300,1353,438,183,103,349,74
PBANKA_0720400,23768,10283,3053,3437,8238,2540
PBANKA_0720500,444,295,107,101,564,76
PBANKA_0720600,444,356,114,130,354,68
PBANKA_0720700,826,382,133,118,456,107
PBANKA_0720800,1317,916,326,245,647,115
PBANKA_0720900,45218,44973,11221,15153,33037,6170
PBANKA_0721000,2330,1416,335,295,965,183
PBANKA_0721100,7839,3485,1240,409,2043,273
PBANKA_0721200,219,122,32,42,100,36
PBANKA_0721300,564,256,110,118,417,47
PBANKA_0721400,355,173,66,84,233,57
PBANKA_0721500,4761,1849,659,717,2313,711
PBANKA_0721600,336,76,43,47,144,29
PBANKA_0721700,2449,1946,642,818,1020,461
PBANKA_0721800,851,469,330,445,1072,206
PBANKA_0721900,513,311,134,58,272,51
PBANKA_0722000,8084,2759,438,1132,3502,972
PBANKA_0722100,13,2,3,8,12,10
PBANKA_0722200,14,9,1,2,2,2
PBANKA_0722600,1767,860,221,22,35,13
PBANKA_0722700,10,3,4,2,2,1
PBANKA_0722801,282,74,15,13,24,6
PBANKA_0722900,156,39,21,19,22,7
PBANKA_0722921,282,149,56,95,179,5
PBANKA_0722941,280,186,50,36,241,5
PBANKA_0722961,0,0,0,0,0,0
PBANKA_0800021,4,1,0,0,2,0
PBANKA_0800041,1,0,1,0,0,0
PBANKA_0800061,23,13,18,1,14,2
PBANKA_0800100,1008,535,145,82,315,26
PBANKA_0800200,582,279,99,79,221,28
PBANKA_0800300,1873,1662,374,559,964,321
PBANKA_0800400,3085,2090,1046,1519,5356,588
PBANKA_0800500,410,219,81,179,202,100
PBANKA_0800541,0,3,6,5,8,2
PBANKA_0800561,5,3,0,0,0,9
PBANKA_0800600,496,355,108,119,307,69
PBANKA_0800700,2113,631,168,183,552,131
PBANKA_0800800,821,416,144,112,312,77
PBANKA_0800900,1833,778,230,296,825,236
PBANKA_0801000,438,368,94,77,193,43
PBANKA_0801100,2716,832,309,237,852,150
PBANKA_0801200,13767,4393,354,1163,3437,816
PBANKA_0801300,322,280,74,53,152,50
PBANKA_0801400,950,706,203,247,395,213
PBANKA_0801500,6296,2117,741,192,855,36
PBANKA_0801600,5240,1622,346,512,1384,417
PBANKA_0801700,2843,907,292,311,873,211
PBANKA_0801800,59515,16373,718,3760,17828,2840
PBANKA_0801900,1078,546,95,170,398,87
PBANKA_0802000,1939,719,47,105,516,100
PBANKA_0802100,4067,1545,550,369,1565,184
PBANKA_0802200,872,347,121,82,332,56
PBANKA_0802300,24043,8855,689,2248,8030,1720
PBANKA_0802400,563,170,86,121,317,90
PBANKA_0802500,1952,697,237,274,886,178
PBANKA_0802600,928,402,105,97,228,73
PBANKA_0802700,2689,1285,362,324,925,314
PBANKA_0802800,1941,662,192,94,300,86
PBANKA_0802900,864,261,101,75,273,46
PBANKA_0803000,2891,1346,429,253,942,273
PBANKA_0803100,12697,7048,1867,1312,3341,1109
PBANKA_0803200,12434,3840,279,1249,3646,1108
PBANKA_0803300,1552,631,202,145,388,116
PBANKA_0803400,2446,2105,582,1218,2364,518
PBANKA_0803500,2583,1586,748,871,1993,363
PBANKA_0803600,2947,930,359,451,879,233
PBANKA_0803700,4396,1547,516,454,1257,316
PBANKA_0803800,402,319,107,65,310,36
PBANKA_0803900,68,129,72,79,208,27
PBANKA_0804000,2934,1813,450,616,1111,700
PBANKA_0804100,12352,4970,275,1894,4273,1885
PBANKA_0804200,326,92,44,28,123,32
PBANKA_0804300,7175,3324,1060,253,683,86
PBANKA_0804321,32,21,50,121,179,43
PBANKA_0804341,6,4,1,2,3,12
PBANKA_0804361,1,0,2,3,0,4
PBANKA_0804381,1,1,4,4,2,13
PBANKA_0804400,4330,2862,661,344,801,206
PBANKA_0804500,1551,1053,271,212,559,102
PBANKA_0804600,674,426,160,102,304,36
PBANKA_0804700,3088,967,327,320,1147,269
PBANKA_0804800,419,227,112,83,250,51
PBANKA_0804900,2486,1098,213,335,995,192
PBANKA_0805000,1800,632,174,144,435,97
PBANKA_0805100,1330,909,307,195,652,122
PBANKA_0805200,1564,481,200,221,457,147
PBANKA_0805300,512,343,180,100,535,40
PBANKA_0805400,394,191,121,42,248,22
PBANKA_0805500,3826,1642,528,191,341,108
PBANKA_0805600,1240,673,274,88,208,76
PBANKA_0805700,38992,19572,8023,6278,12510,5674
PBANKA_0805750,52,38,46,14,147,23
PBANKA_0805800,413,287,66,95,253,102
PBANKA_0805900,18299,5548,1269,1076,2647,509
PBANKA_0806000,1329,932,459,295,946,180
PBANKA_0806100,1220,450,145,122,419,88
PBANKA_0806200,746,477,151,325,530,165
PBANKA_0806300,4747,2612,205,745,1936,529
PBANKA_0806400,1367,642,212,226,447,100
PBANKA_0806500,1295,1040,398,338,616,181
PBANKA_0806600,1118,648,177,199,516,176
PBANKA_0806700,12897,3011,168,657,3262,779
PBANKA_0806800,15495,7783,1716,370,1541,156
PBANKA_0806900,1739,360,141,58,195,39
PBANKA_0807000,20789,7223,287,2039,6373,2167
PBANKA_0807100,688,290,92,58,235,53
PBANKA_0807200,17549,9495,2944,2402,8286,1167
PBANKA_0807300,363,172,74,84,137,47
PBANKA_0807400,390,107,52,74,181,59
PBANKA_0807500,9725,2633,670,887,3021,655
PBANKA_0807600,5284,3879,1051,1720,2612,1199
PBANKA_0807700,5601,1923,660,408,1760,325
PBANKA_0807800,1026,460,152,150,394,94
PBANKA_0807900,23321,7483,332,2334,7594,2285
PBANKA_0808000,5757,1781,414,520,1631,371
PBANKA_0808100,126,113,37,27,66,27
PBANKA_0808200,1511,811,323,285,825,132
PBANKA_0808300,1352,351,154,146,642,61
PBANKA_0808380,5,2,1,10,10,11
PBANKA_0808420,514,247,92,122,310,88
PBANKA_0808500,245,52,51,29,96,33
PBANKA_0808600,1337,543,233,93,406,87
PBANKA_0808700,3220,691,281,187,1010,132
PBANKA_0808800,370,163,69,43,132,36
PBANKA_0808900,5747,1996,777,599,2255,445
PBANKA_0809000,6870,3184,1019,251,759,207
PBANKA_0809100,770,347,143,70,353,64
PBANKA_0809200,291,87,39,44,157,30
PBANKA_0809300,244,168,53,21,136,26
PBANKA_0809400,1662,648,230,171,501,109
PBANKA_0809500,83,40,14,20,46,32
PBANKA_0809600,1144,706,223,214,794,101
PBANKA_0809700,1737,1047,423,290,756,130
PBANKA_0809800,451,246,75,101,207,48
PBANKA_0809900,916,529,161,201,528,103
PBANKA_0810000,1246,714,198,208,602,133
PBANKA_0810100,422,190,92,130,252,81
PBANKA_0810200,2882,1006,336,242,812,166
PBANKA_0810300,1431,470,133,134,349,76
PBANKA_0810400,899,375,131,141,283,90
PBANKA_0810500,2782,2007,693,1300,1627,600
PBANKA_0810600,5508,2730,190,472,2012,179
PBANKA_0810700,50201,41004,14818,18368,43259,13924
PBANKA_0810800,2214,881,332,156,605,72
PBANKA_0810900,6626,2534,714,961,1883,608
PBANKA_0811000,621,538,193,185,621,142
PBANKA_0811100,1210,524,198,243,488,230
PBANKA_0811200,593,297,91,54,170,56
PBANKA_0811300,9653,3708,803,1372,2719,1487
PBANKA_0811400,16053,5825,389,1717,5767,1362
PBANKA_0811500,689,343,135,93,363,67
PBANKA_0811600,1010,361,132,120,278,77
PBANKA_0811700,774,456,180,180,378,136
PBANKA_0811800,3866,1803,625,277,884,211
PBANKA_0811900,584,477,151,140,291,61
PBANKA_0812000,3806,1915,650,729,1373,482
PBANKA_0812100,1531,1073,524,423,1471,239
PBANKA_0812200,6359,3743,732,913,2291,519
PBANKA_0812300,1351,608,153,129,403,105
PBANKA_0812400,575,242,30,47,159,45
PBANKA_0812500,524,226,73,73,195,59
PBANKA_0812600,23195,14227,4091,1142,8748,1099
PBANKA_0812700,2425,965,387,155,692,159
PBANKA_0812800,7124,4954,2194,2206,4210,1660
PBANKA_0812900,22760,15814,5776,5318,12970,4199
PBANKA_0813000,6829,3681,1598,1256,3650,742
PBANKA_0813100,1540,437,146,128,479,98
PBANKA_0813200,512,199,64,44,186,27
PBANKA_0813300,8155,5221,1927,1941,5977,892
PBANKA_0813400,1471,728,288,282,548,151
PBANKA_0813500,1700,1415,427,469,937,316
PBANKA_0813600,2532,983,303,105,433,145
PBANKA_0813700,64,66,30,14,43,8
PBANKA_0813800,1216,573,174,224,474,156
PBANKA_0813900,1321,493,212,98,523,74
PBANKA_0814000,714,557,168,139,365,94
PBANKA_0814100,387,154,60,55,174,61
PBANKA_0814200,2633,2128,628,297,1157,120
PBANKA_0814300,475,267,69,104,256,57
PBANKA_0814400,432,355,107,71,472,36
PBANKA_0814500,5268,3508,1269,1500,2968,789
PBANKA_0814600,352,124,50,66,161,76
PBANKA_0814700,528,208,104,50,207,31
PBANKA_0814800,468,631,303,424,506,249
PBANKA_0814900,174,71,46,37,104,40
PBANKA_0815000,609,325,105,197,294,159
PBANKA_0815100,12299,4277,1338,1255,4562,916
PBANKA_0815200,2230,1398,617,413,1291,239
PBANKA_0815300,1107,432,162,146,444,110
PBANKA_0815400,41973,38019,8951,10382,23809,6394
PBANKA_0815500,9013,2703,709,794,2462,530
PBANKA_0815600,1042,754,207,87,348,77
PBANKA_0815700,17343,9728,3282,3897,8484,2634
PBANKA_0815800,1027,669,226,196,641,133
PBANKA_0815900,8853,2584,795,847,2851,596
PBANKA_0816000,3664,1305,484,442,1065,239
PBANKA_0816100,2221,1222,373,544,1104,481
PBANKA_0816200,4442,2775,838,222,714,302
PBANKA_0816300,4083,1855,666,466,1551,343
PBANKA_0816400,7270,3346,574,1013,2628,628
PBANKA_0816500,446,140,32,54,94,55
PBANKA_0816600,403,304,102,28,237,28
PBANKA_0816700,2429,1599,600,543,1096,231
PBANKA_0816800,12597,10811,3326,3500,9058,1368
PBANKA_0816900,2059,1582,496,279,1427,162
PBANKA_0817000,11812,4233,1272,1067,2838,683
PBANKA_0817100,2074,1176,277,487,1039,218
PBANKA_0817200,1079,328,123,134,408,82
PBANKA_0817300,743,504,174,174,389,99
PBANKA_0817400,1302,636,235,191,806,241
PBANKA_0817500,134,39,30,23,104,21
PBANKA_0817600,163,92,25,13,78,24
PBANKA_0817700,2083,1092,362,309,738,378
PBANKA_0817800,296,160,77,56,219,43
PBANKA_0817900,540,230,62,88,198,44
PBANKA_0818000,10271,3105,668,982,3431,422
PBANKA_0818100,1296,591,200,54,299,51
PBANKA_0818200,614,371,144,91,273,68
PBANKA_0818300,167,76,40,18,58,28
PBANKA_0818400,1132,598,50,114,446,122
PBANKA_0818500,5899,2520,877,1378,2837,454
PBANKA_0818600,829,434,164,172,393,115
PBANKA_0818700,134,109,51,36,118,31
PBANKA_0818800,331,179,71,73,147,31
PBANKA_0818900,19569,7097,2913,2617,4478,1518
PBANKA_0819000,64161,53991,27825,28017,95852,9631
PBANKA_0819100,1347,897,354,368,821,216
PBANKA_0819200,2727,1819,585,817,1389,364
PBANKA_0819300,2620,1514,447,461,899,299
PBANKA_0819400,3432,1388,359,511,1046,336
PBANKA_0819450,1498,999,514,552,1100,235
PBANKA_0819500,1560,664,194,174,578,133
PBANKA_0819600,727,517,146,130,360,59
PBANKA_0819700,2291,2154,641,464,1132,648
PBANKA_0819800,6488,3669,999,1010,2534,695
PBANKA_0819900,16740,7025,2340,630,2638,760
PBANKA_0820000,1766,1065,490,297,997,285
PBANKA_0820100,1122,1017,285,173,664,117
PBANKA_0820200,181,312,91,119,254,83
PBANKA_0820300,1930,833,271,256,558,129
PBANKA_0820400,58,39,9,11,38,6
PBANKA_0820500,10,6,5,13,13,8
PBANKA_0820600,180,95,38,25,101,21
PBANKA_0820700,4772,1180,396,290,1521,324
PBANKA_0820800,3508,1240,97,274,1602,282
PBANKA_0820900,19,16,8,8,23,21
PBANKA_0821000,335,227,77,49,276,37
PBANKA_0821100,5156,2218,673,493,1735,476
PBANKA_0821200,15541,14971,3654,1626,7996,1294
PBANKA_0821300,659,205,70,179,304,105
PBANKA_0821400,11771,12552,4040,2560,18421,1228
PBANKA_0821500,854,286,120,163,375,124
PBANKA_0821600,1278,315,165,224,732,173
PBANKA_0821700,2244,1375,498,476,887,308
PBANKA_0821800,841,444,220,225,674,201
PBANKA_0821900,790,832,425,445,1390,322
PBANKA_0822000,306,152,54,92,228,43
PBANKA_0822100,1809,746,240,346,852,224
PBANKA_0822200,1063,518,200,155,582,76
PBANKA_0822300,278,137,43,25,108,17
PBANKA_0822400,113,35,38,19,67,25
PBANKA_0822500,3050,1048,304,217,916,189
PBANKA_0822600,1283,524,185,164,442,90
PBANKA_0822700,1559,1122,315,174,809,112
PBANKA_0822800,1079,1013,321,78,427,66
PBANKA_0822900,9372,3587,1177,1050,2450,732
PBANKA_0823000,12874,5479,751,1812,3486,840
PBANKA_0823100,33829,29003,7817,11643,17195,6167
PBANKA_0823200,30489,25374,7036,8918,18649,5715
PBANKA_0823300,3912,1069,266,491,1103,343
PBANKA_0823400,10810,4910,2171,2230,4585,999
PBANKA_0823500,2335,1333,461,357,1137,234
PBANKA_0823600,2483,1883,623,429,1367,371
PBANKA_0823700,4645,1183,437,487,1731,544
PBANKA_0823800,135,73,30,38,109,23
PBANKA_0823900,560,311,118,72,179,39
PBANKA_0824000,437,177,54,35,165,41
PBANKA_0824100,690,366,129,116,323,93
PBANKA_0824200,3559,2109,555,423,1290,374
PBANKA_0824300,8839,3122,549,642,2509,646
PBANKA_0824400,15621,10229,2840,1774,4867,1486
PBANKA_0824500,197,87,34,40,135,27
PBANKA_0824600,710,345,143,213,492,206
PBANKA_0824700,4875,2146,716,1321,1956,888
PBANKA_0824800,2301,1642,590,898,1113,528
PBANKA_0824900,2474,1123,413,666,1131,369
PBANKA_0825000,562,395,170,57,256,66
PBANKA_0825100,532,203,85,128,301,94
PBANKA_0825200,890,384,131,235,386,115
PBANKA_0825300,1858,537,182,184,643,195
PBANKA_0825400,2222,763,316,307,916,176
PBANKA_0825500,37394,11646,2674,4384,13028,3758
PBANKA_0825600,1005,539,206,83,346,67
PBANKA_0825700,7874,8515,2318,1170,4190,630
PBANKA_0825800,2327,1712,500,116,292,33
PBANKA_0825900,15501,12412,3585,3112,8118,1744
PBANKA_0826000,598,317,131,53,225,32
PBANKA_0826100,164,35,25,19,66,17
PBANKA_0826200,2238,1293,420,406,886,233
PBANKA_0826300,744,498,116,191,366,110
PBANKA_0826400,2474,2570,1282,1587,3758,1011
PBANKA_0826500,1909,1582,1039,1277,3311,564
PBANKA_0826600,1994,768,284,371,725,275
PBANKA_0826700,7927,3655,1952,1042,3352,549
PBANKA_0826800,2438,1034,418,296,854,202
PBANKA_0826900,14889,3046,175,835,5194,1227
PBANKA_0827000,15,5,2,24,21,12
PBANKA_0827100,12101,4946,1367,1069,2431,630
PBANKA_0827200,1026,307,209,119,332,35
PBANKA_0827300,3546,1231,256,538,1378,1016
PBANKA_0827400,17683,8007,2257,2725,6930,2655
PBANKA_0827500,3461,1015,325,490,930,231
PBANKA_0827600,10227,4509,795,1217,2848,479
PBANKA_0827700,454,306,98,114,231,50
PBANKA_0827800,859,467,176,87,392,89
PBANKA_0827900,690,482,140,107,326,87
PBANKA_0828000,16784,5979,990,1762,4978,1734
PBANKA_0828100,7000,3079,661,1359,2249,932
PBANKA_0828200,5108,1863,397,343,1023,204
PBANKA_0828300,1096,734,391,354,1378,259
PBANKA_0828400,3612,1654,575,287,1335,227
PBANKA_0828500,2232,1644,481,547,1313,441
PBANKA_0828600,1936,1445,432,762,1282,464
PBANKA_0828700,1764,962,416,290,699,208
PBANKA_0828800,2982,2766,2512,3767,10105,1728
PBANKA_0828900,9287,7536,2229,787,2973,661
PBANKA_0829000,1128,655,269,179,594,126
PBANKA_0829100,1186,863,321,207,565,134
PBANKA_0829200,829,460,128,142,418,60
PBANKA_0829300,159,222,47,52,139,14
PBANKA_0829400,392,216,138,84,503,51
PBANKA_0829500,821,311,106,114,365,165
PBANKA_0829600,518,248,102,81,344,189
PBANKA_0829700,1777,1073,333,226,569,77
PBANKA_0829800,1606,801,323,188,500,98
PBANKA_0829900,698,539,160,196,401,90
PBANKA_0830000,2307,1095,360,267,879,191
PBANKA_0830100,544,276,90,82,245,85
PBANKA_0830200,20548,4769,2222,1450,4101,735
PBANKA_0830300,2571,1997,579,516,747,379
PBANKA_0830400,42246,38138,9277,11404,18208,6809
PBANKA_0830450,1578,652,251,155,423,105
PBANKA_0830500,396,51,25,9,59,13
PBANKA_0830600,452,260,95,58,273,37
PBANKA_0830700,3782,1546,647,545,1500,551
PBANKA_0830800,2060,415,164,251,367,182
PBANKA_0830900,5165,1636,627,259,934,220
PBANKA_0831000,10490,6393,494,1076,4322,276
PBANKA_0831100,5204,2370,699,470,1585,354
PBANKA_0831200,11877,3809,1074,790,2775,846
PBANKA_0831300,1116,384,155,104,384,55
PBANKA_0831400,501,244,122,54,221,23
PBANKA_0831500,5989,1552,314,439,1673,460
PBANKA_0831600,4066,1793,476,227,1307,207
PBANKA_0831700,518,293,126,85,219,73
PBANKA_0831800,1480,810,377,153,646,96
PBANKA_0831900,709,438,140,81,339,46
PBANKA_0832000,379,55,32,125,472,58
PBANKA_0832100,314,182,43,91,131,33
PBANKA_0832200,339,231,89,49,101,39
PBANKA_0832300,490,176,51,75,258,53
PBANKA_0832400,1638,839,299,107,633,99
PBANKA_0832500,4043,1975,478,427,1210,309
PBANKA_0832600,918,484,141,149,514,101
PBANKA_0832700,1960,772,417,18,157,14
PBANKA_0832800,502,322,108,131,236,65
PBANKA_0832900,1178,501,212,247,518,140
PBANKA_0833000,4733,3370,5043,4875,11144,1995
PBANKA_0833100,3119,1559,539,503,1086,425
PBANKA_0833200,2638,1750,544,534,1117,325
PBANKA_0833300,1810,871,323,293,880,158
PBANKA_0833400,674,292,174,97,471,57
PBANKA_0833500,441,130,57,105,271,64
PBANKA_0833600,1618,383,160,265,520,161
PBANKA_0833700,1125,775,389,182,938,78
PBANKA_0833800,2255,1010,348,244,862,179
PBANKA_0833900,3536,1351,473,190,616,134
PBANKA_0834000,1200,593,171,153,453,67
PBANKA_0834100,3255,815,302,291,1104,170
PBANKA_0834200,710,265,93,97,284,45
PBANKA_0834300,5376,1512,556,548,1775,266
PBANKA_0834400,5779,3409,1218,1296,2537,783
PBANKA_0834500,838,758,277,231,586,120
PBANKA_0834600,7213,2974,1051,694,2124,326
PBANKA_0834700,1621,1397,383,436,1311,292
PBANKA_0834800,691,273,93,146,277,66
PBANKA_0834900,2971,1107,384,322,973,185
PBANKA_0835000,452,190,70,72,231,43
PBANKA_0835100,445,263,64,61,187,41
PBANKA_0835200,1613,1164,390,378,692,213
PBANKA_0835300,1992,1475,611,610,1513,389
PBANKA_0835400,2708,1761,757,509,2709,220
PBANKA_0835500,7029,3803,1147,1018,2696,698
PBANKA_0835600,2227,1180,420,180,337,50
PBANKA_0835700,210,55,22,22,119,23
PBANKA_0835800,670,278,115,54,366,37
PBANKA_0835900,350,278,131,77,289,48
PBANKA_0836000,1450,1097,180,219,679,153
PBANKA_0836100,235,110,80,30,268,23
PBANKA_0836200,1437,607,208,185,455,101
PBANKA_0836300,10121,2732,837,1006,3189,637
PBANKA_0836400,135,44,21,11,110,12
PBANKA_0836500,554,496,133,61,273,31
PBANKA_0836550,47,28,13,5,33,9
PBANKA_0836600,151,66,33,21,56,24
PBANKA_0836700,564,342,112,44,146,32
PBANKA_0836800,2335,1262,309,430,1149,268
PBANKA_0836850,10,1,2,2,6,5
PBANKA_0836900,446,286,76,60,133,6
PBANKA_0836921,14,2,4,2,10,6
PBANKA_0836941,33,12,3,8,15,0
PBANKA_0836961,98,22,3,5,19,2
PBANKA_0836981,25,17,7,3,11,2
PBANKA_0837001,455,257,52,14,30,11
PBANKA_0837021,3,1,0,0,0,1
PBANKA_0837041,0,0,0,0,0,0
PBANKA_0837061,0,0,0,0,0,0
PBANKA_0837081,70,17,11,1,8,5
PBANKA_0837101,358,77,15,20,42,3
PBANKA_0837121,217,62,28,168,560,4
PBANKA_0837141,444,103,17,69,181,3
PBANKA_0837161,1,25,0,0,0,0
PBANKA_0837181,0,0,0,0,11,0
PBANKA_0837201,0,3,0,2,2,0
PBANKA_0900600,0,0,0,0,0,0
PBANKA_0900900,817,237,14,45,230,44
PBANKA_0901000,3356,2985,888,673,2334,270
PBANKA_0901100,2288,794,147,230,800,148
PBANKA_0901200,1158,985,445,373,1484,204
PBANKA_0901300,4689,1746,171,296,1264,244
PBANKA_0901400,2454,1627,482,522,1016,375
