Geneid,RNA-seq_Gametocyte_WT_1,RNA-seq_Gametocyte_WT_2,RNA-seq_Gametocyte_WT_3,RNA-seq_gSNF2_KO_1,RNA-seq_gSNF2_KO_2,RNA-seq_gSNF2_KO_3
PBANKA_0108400,2161,930,300,330,748,269
PBANKA_0108500,550,357,117,71,299,39
PBANKA_0108600,916,440,166,131,366,61
PBANKA_0108700,11288,5634,1261,1011,4170,902
PBANKA_0108800,3711,4098,1255,2599,4049,902
PBANKA_0108900,308,190,71,105,165,58
PBANKA_0109000,196,40,32,17,109,25
PBANKA_0109100,3898,1866,700,955,1707,592
PBANKA_0109200,6824,2195,451,658,1799,472
PBANKA_0109300,998,1092,394,251,1273,86
PBANKA_0109400,376,240,77,45,166,46
PBANKA_0109500,1387,721,336,202,731,130
PBANKA_0109600,2701,2062,914,916,2131,623
PBANKA_0109700,4281,1763,524,466,1605,296
PBANKA_0109800,16293,6166,1822,1355,6463,810
PBANKA_0109900,18486,7852,2353,1509,8183,571
PBANKA_0110000,1285,726,785,482,2709,278
PBANKA_0110100,14468,4319,803,985,5831,907
PBANKA_0110200,2064,897,272,294,568,189
PBANKA_0110300,103,38,33,34,55,13
PBANKA_0110400,1123,390,131,192,531,115
PBANKA_0110500,39704,14583,669,3802,11898,3256
PBANKA_0110600,172,43,28,23,124,12
PBANKA_0110700,692,309,148,349,530,269
PBANKA_0110800,11057,7497,2089,666,5244,520
PBANKA_0110900,1671,1347,766,786,3029,463
PBANKA_0111000,453,176,57,20,161,18
PBANKA_0111100,551,250,94,35,148,30
PBANKA_0111200,4589,2127,675,348,1131,223
PBANKA_0111300,1513,757,222,192,791,108
PBANKA_0111400,1221,956,392,616,1965,355
PBANKA_0111500,288,196,65,45,283,25
PBANKA_0111600,511,454,143,100,317,76
PBANKA_0111700,1949,2034,688,594,1394,366
PBANKA_0111800,1059,451,117,178,454,152
PBANKA_0111900,433,281,100,127,300,106
PBANKA_0112000,671,236,87,74,329,48
PBANKA_0112100,6351,1912,524,730,2271,649
PBANKA_0112200,1841,1115,58,326,903,292
PBANKA_0112300,2593,868,242,217,799,141
PBANKA_0112400,1044,394,146,119,553,63
PBANKA_0112500,1059,482,247,201,556,91
PBANKA_0112600,1418,394,190,90,312,58
PBANKA_0112621,154,76,31,28,38,30
PBANKA_0112641,769,726,223,92,264,181
PBANKA_0112661,3,0,2,1,0,0
PBANKA_0112681,0,0,0,0,0,0
PBANKA_0112701,2,2,0,0,0,0
PBANKA_0112721,13,6,4,0,3,1
PBANKA_0200400,1100,1039,515,538,1757,152
PBANKA_0200500,125,24,12,4,8,0
PBANKA_0200600,1599,1102,486,10,33,4
PBANKA_0200650,51,13,5,3,6,1
PBANKA_0200670,8,3,1,0,5,0
PBANKA_0200700,203,44,15,1,1,2
PBANKA_0200751,23,9,8,2,8,2
PBANKA_0201000,201,121,55,19,50,32
PBANKA_0201051,175,69,3,6,88,6
PBANKA_0201100,68,43,21,15,41,2
PBANKA_0201200,32,17,6,5,12,7
PBANKA_0201250,663,529,186,319,453,159
PBANKA_0201300,706,476,137,142,234,97
PBANKA_0201340,887,772,237,200,463,146
PBANKA_0201360,22,19,8,15,25,4
PBANKA_0201400,177,40,22,15,53,14
PBANKA_0201450,30,1,3,10,21,10
PBANKA_0201500,1461,467,187,281,308,66
PBANKA_0201600,16567,9458,6391,7402,13367,4016
PBANKA_0201700,310,315,67,64,194,62
PBANKA_0201800,601,308,86,65,297,87
PBANKA_0201900,1469,996,284,136,712,113
PBANKA_0202000,3085,1953,677,425,1838,249
PBANKA_0202100,44,16,14,9,34,10
PBANKA_0202200,422,234,86,54,189,39
PBANKA_0202300,1189,662,275,257,588,163
PBANKA_0202400,2515,920,299,299,727,209
PBANKA_0202500,5955,1820,633,535,1890,418
PBANKA_0202600,169,120,52,14,325,22
PBANKA_0202700,16465,5090,483,684,1719,131
PBANKA_0202800,231,166,42,82,128,49
PBANKA_0202900,2007,1224,341,277,843,258
PBANKA_0203000,21152,9418,4402,1325,5234,1225
PBANKA_0203100,3963,1790,698,706,1641,391
PBANKA_0203200,2820,1150,376,389,909,292
