Geneid	271KO_RNA_1.bam	271KO_RNA_2.bam	271KO_RNA_3.bam
PBANKA_0413400	1078	1925	2017
PBANKA_0908400	182	564	565
PBANKA_0317141	274	1355	1069
PBANKA_0600300	37	105	82
PBANKA_1439400	1546	3320	3962
PBANKA_1140900	843	1874	2316
PBANKA_0101300	44	200	126
PBANKA_1105500	418	1041	1145
PBANKA_0614300	181	509	448
PBANKA_1143500	174	435	541
PBANKA_1024700	932	1818	1816
PBANKA_0936600	391	885	1059
PBANKA_1303700	544	1736	1606
PBANKA_1328800	1741	4586	5115
PBANKA_1208100	65	196	194
PBANKA_1409900	312	1172	893
PBANKA_1131300	33	89	183
PBANKA_0828500	612	1366	1630
PBANKA_0810300	174	439	458
PBANKA_1330800	300	778	672
PBANKA_1215000	170	337	468
PBANKA_0507400	163	448	410
PBANKA_1428200	209	465	522
PBANKA_1132400	282	705	742
PBANKA_1131100	702	1554	1682
PBANKA_0705800	614	1337	1244
PBANKA_1224000	339	818	699
PBANKA_1419200	640	1268	1362
PBANKA_1446300	597	1289	1314
PBANKA_1136900	960	2685	2613
PBANKA_0602700	1762	4998	3885
PBANKA_0602400	552	1563	1625
PBANKA_0417700	2124	5112	4657
PBANKA_1209100	412	1140	1155
PBANKA_1113200	237	501	414
PBANKA_0103400	775	1303	1529
PBANKA_0404500	133	490	336
PBANKA_1120400	30798	59188	76326
PBANKA_0711900	18308	42839	31534
PBANKA_1218800	882	2010	2487
PBANKA_1028400	1815	5239	4791
PBANKA_0602200	25	62	84
PBANKA_0714700	49	148	79
PBANKA_1412400	125	433	398
PBANKA_1306700	22	67	62
PBANKA_0704300	539	1316	1419
PBANKA_0942700	3157	6475	6819
PBANKA_1028800	2430	7465	8561
PBANKA_1244800	187	382	367
PBANKA_1401700	153	305	366
PBANKA_0830300	1387	2603	3257
PBANKA_1221500	332	847	1099
PBANKA_0614800	353	1257	1078
PBANKA_1022600	476	1084	1592
PBANKA_0207600	4052	7524	8518
PBANKA_0213200	6789	14524	14145
PBANKA_1109500	22	131	132
PBANKA_0413800	116	174	160
PBANKA_1302900	114	985	489
PBANKA_0918400	101	178	273
PBANKA_0406900	142	314	486
PBANKA_0707800	268	542	727
PBANKA_0939900	88	492	432
PBANKA_1241000	716	1221	1498
PBANKA_0408500	83	279	121
PBANKA_1312000	812	1837	1930
PBANKA_1133500	93	412	289
PBANKA_1313600	26	87	130
PBANKA_1300096	80	227	170
PBANKA_0612500	76	188	152
PBANKA_1403900	119	378	396
PBANKA_0108300	3673	6634	8276
PBANKA_1416200	33	93	108
PBANKA_1456600	4	43	66
PBANKA_1402800	57	155	116
PBANKA_1415300	913	1776	1876
PBANKA_1327500	47	166	145
PBANKA_1322500	88	200	311
PBANKA_1019300	32	178	110
PBANKA_0614700	737	1754	2013
PBANKA_1340100	10948	40662	35228
PBANKA_1003400	10467	19337	20635
PBANKA_1363200	172	545	677
PBANKA_0606700	95	270	314
PBANKA_0204700	453	975	1168
PBANKA_1116800	1134	2812	2104
PBANKA_1334800	28955	60768	77717
PBANKA_1460500	599	1448	1176
PBANKA_0106300	31588	73893	91657
PBANKA_0812500	77	169	138
PBANKA_1217100	696	1387	1923
PBANKA_0910700	1141	2286	2615
PBANKA_1242100	934	2164	2816
PBANKA_1333200	120	296	335
PBANKA_1032900	220	829	762
PBANKA_1407800	1068	1976	2013
PBANKA_1005600	988	2089	2952
PBANKA_1244100	117	289	300
PBANKA_1112400	83	238	234
PBANKA_1128600	443	1050	965
PBANKA_0415700	2686	6001	6854
PBANKA_1012100	598	1526	1580
PBANKA_API00310	0	0	0
PBANKA_1023600	1150	2172	2288
PBANKA_0316400	408	907	868
PBANKA_1465300	10	64	53
PBANKA_1364900	118	321	405
PBANKA_0917990	50	100	155
PBANKA_0909400	332	680	850
PBANKA_0814800	627	1312	2274
PBANKA_1360700	471	1394	1410
PBANKA_1008700	391	1237	1096
PBANKA_0703500	6047	11679	11682
PBANKA_1033600	59	147	127
PBANKA_0832600	130	610	325
PBANKA_1303800	2584	5460	5361
PBANKA_0108100	847	2001	2059
PBANKA_0202300	273	725	664
PBANKA_1353500	96	254	259
PBANKA_1462100	36	149	172
PBANKA_1424400	136	426	287
PBANKA_1425000	681	1454	1130
PBANKA_0519800	382	1231	919
PBANKA_0806600	276	604	629
PBANKA_0803200	2702	6582	6343
PBANKA_0908200	326	771	834
PBANKA_1214300	9863	21458	20995
PBANKA_1221700	54	245	245
PBANKA_0411800	230	646	646
PBANKA_1458500	61	236	223
PBANKA_0705400	42	198	162
PBANKA_1466201	0	0	0
PBANKA_0602600	61	165	177
PBANKA_0934900	411	850	841
PBANKA_1213000	6264	13441	13223
PBANKA_0802500	154	437	469
PBANKA_0938900	1108	2052	2203
PBANKA_0918100	70	344	211
PBANKA_1138200	6535	10751	11434
PBANKA_1459600	168	319	402
PBANKA_1412000	673	1299	1521
PBANKA_1125800	355	1101	1395
PBANKA_1354000	138	354	374
PBANKA_1355200	1866	3844	3937
PBANKA_0316000	3563	8209	8196
PBANKA_0204100	160	535	543
PBANKA_0008201	0	1	1
PBANKA_0827800	118	347	304
PBANKA_1118900	286	761	703
PBANKA_1309700	1825	3621	3814
PBANKA_1018100	3540	7325	8252
PBANKA_1439700	180	481	417
PBANKA_1337800	227	886	739
PBANKA_1114200	3866	8551	10832
PBANKA_1435100	316	882	869
PBANKA_1118200	350	914	988
PBANKA_1246600	18	41	30
PBANKA_0611700	166	576	626
PBANKA_1341900	321	879	751
PBANKA_1109000	2134	5679	4766
PBANKA_0109000	67	209	212
PBANKA_1039900	72	337	179
PBANKA_1437200	228	706	679
PBANKA_0701000	314	889	989
PBANKA_0704900	6843	13207	16322
PBANKA_1100500	3	4	7
PBANKA_1360900	157	446	471
PBANKA_1010600	2441	6265	6094
PBANKA_0314100	255	582	596
PBANKA_0621300	2727	5868	5259
PBANKA_0915200	157	1027	572
PBANKA_1458800	3122	6142	5521
PBANKA_0905700	123	313	336
PBANKA_0721800	158	518	533
PBANKA_0110300	29	256	149
PBANKA_0521900	359	1022	1198
PBANKA_1363600	3308	6881	8435
PBANKA_0700041	2	0	1
PBANKA_0405000	155	929	681
PBANKA_0008601	0	0	0
PBANKA_API00203	0	0	0
PBANKA_0208900	433	1129	1837
PBANKA_1435900	19	28	54
PBANKA_1016400	379	961	859
PBANKA_1125900	7812	14621	18424
PBANKA_0722000	1590	3494	3465
PBANKA_0406000	7345	13329	14809
PBANKA_API00290	0	0	5
PBANKA_1447800	68	208	208
PBANKA_1312800	2108	5262	5633
PBANKA_1028600	411	865	980
PBANKA_0929800	335	997	763
PBANKA_0813100	158	722	626
PBANKA_1342500	17008	27994	33407
PBANKA_0713500	1271	2499	2870
PBANKA_1400500	5	11	18
PBANKA_0931600	724	1322	1537
PBANKA_1450300	1774	4939	4192
PBANKA_0202000	837	2123	2837
PBANKA_1216700	2276	4486	4644
PBANKA_0216000	8	16	13
PBANKA_0825600	169	433	444
PBANKA_1108700	9079	16935	17225
PBANKA_1226900	823	1430	1692
PBANKA_0819450	273	665	647
PBANKA_1407200	161	353	336
PBANKA_1421500	8251	16051	19550
PBANKA_1010400	127	429	440
PBANKA_1442300	1513	4182	4089
PBANKA_1000021	0	0	0
PBANKA_1131200	32	134	185
PBANKA_0704000	117	387	388
PBANKA_1409000	244	572	706
PBANKA_0411950	339	792	708
PBANKA_1213800	67	142	135
PBANKA_1427900	45	130	116
PBANKA_0000801	11	0	0
PBANKA_1310100	53	85	105
PBANKA_1221800	106	426	417
PBANKA_0102400	611	1132	1041
PBANKA_0623100	7921	16000	14158
PBANKA_1319500	52973	96840	117604
PBANKA_1445100	415	1818	1468
PBANKA_1358400	119	391	370
PBANKA_1033800	4155	9830	8910
PBANKA_0933300	344	838	752
PBANKA_1442200	11673	63986	56778
PBANKA_0607700	4940	9767	10020
PBANKA_0907300	49	252	176
PBANKA_0815000	252	484	459
PBANKA_0614100	328	716	849
PBANKA_1032500	435	900	989
PBANKA_1104000	246	489	532
PBANKA_1205200	1107	3156	4135
PBANKA_1418800	309	927	755
PBANKA_0812700	534	1845	1455
PBANKA_1016000	586	1442	1539
PBANKA_0400800	4	26	13
PBANKA_1400061	4	21	20
PBANKA_1426500	1107	2303	2668
PBANKA_0519200	742	2393	3025
PBANKA_1028000	709	1309	1454
PBANKA_1128400	19	54	95
PBANKA_0209700	1124	2133	2233
PBANKA_1301800	2482	5965	5149
PBANKA_1353800	25268	43573	55589
PBANKA_1454700	39	189	109
PBANKA_1352641	6	8	8
PBANKA_1223800	3985	9826	10179
PBANKA_1218000	2988	5588	7217
PBANKA_1145721	8	21	22
PBANKA_MIT01200	22	67	106
PBANKA_0511100	63	265	234
PBANKA_1245920	0	0	0
PBANKA_0416200	850	1988	1776
PBANKA_1441700	266	1086	890
PBANKA_1202200	3525	6252	6062
PBANKA_1466161	0	0	0
PBANKA_0308100	121	411	348
PBANKA_0941400	393	753	868
PBANKA_MIT01700	1210	1531	2079
PBANKA_1215500	589	2674	2103
PBANKA_0917900	1296	3387	2931
PBANKA_1144200	167	530	680
PBANKA_1309900	955	2783	2747
PBANKA_MIT01000	157	200	490
PBANKA_0208600	69	156	178
PBANKA_0922400	188	564	487
PBANKA_1129700	517	1222	1563
PBANKA_0008701	1	0	0
PBANKA_1460400	252	958	525
PBANKA_0837001	18	22	37
PBANKA_1236400	241	569	567
PBANKA_1000651	0	0	1
PBANKA_1012500	1367	3379	3967
PBANKA_0112641	109	297	312
PBANKA_1452000	359	1001	1033
PBANKA_1362700	151	457	590
PBANKA_1443900	826	2169	1848
PBANKA_1110500	764	3090	2805
PBANKA_1037400	128	432	735
PBANKA_1427800	1923	4592	4290
PBANKA_0905400	77	174	254
PBANKA_1143400	1743	3487	4224
PBANKA_1445400	1072	5532	4051
PBANKA_0915300	821	1273	1709
PBANKA_1140500	195	567	557
PBANKA_0618000	9	35	53
PBANKA_0809800	79	226	204
PBANKA_1036800	39	199	108
PBANKA_0306900	2991	6870	9405
PBANKA_1353700	174	370	414
PBANKA_0941700	382	923	807
PBANKA_1365300	713	2036	1778
PBANKA_0944081	19	48	31
PBANKA_0512900	723	3309	3060
PBANKA_0932300	304	677	787
PBANKA_0814600	44	107	92
PBANKA_0208700	281	976	818
PBANKA_0820000	440	1422	1388
PBANKA_0514500	157	454	415
PBANKA_0508400	123	351	342
PBANKA_1462600	84	150	211
PBANKA_1461200	555	1638	1625
PBANKA_1202700	8967	14624	15330
PBANKA_1463000	17103	40333	42155
PBANKA_0517800	266	839	651
PBANKA_0109900	819	2252	2552
PBANKA_1025100	4635	9868	10084
PBANKA_0600700	259	974	1116
PBANKA_1448800	491	1742	1371
PBANKA_0808900	1049	2591	2539
PBANKA_0513500	19	81	95
PBANKA_0929000	92	229	326
PBANKA_0410800	119	485	324
PBANKA_0307800	3570	7308	8693
PBANKA_0701200	332	890	869
PBANKA_0914400	2563	5160	5295
PBANKA_1129000	3125	6972	10094
PBANKA_0517600	12549	19575	22800
PBANKA_0801800	7394	16092	20154
PBANKA_1025700	254	405	614
PBANKA_0704100	871	1940	1575
PBANKA_1134600	12	77	59
PBANKA_1442600	586	1289	1432
PBANKA_1139800	1021	1981	2238
PBANKA_1422900	13480	22609	27409
PBANKA_0110700	157	372	359
PBANKA_0821000	25	136	157
PBANKA_1211800	149	347	290
PBANKA_0216701	2	22	20
PBANKA_1439800	168	444	554
PBANKA_0709200	131	453	354
PBANKA_1244600	153	640	380
PBANKA_1327000	127	367	370
PBANKA_0918000	3262	9705	8628
PBANKA_1122500	961	2043	2438
PBANKA_0416900	29	261	176
PBANKA_1432500	772	1799	1704
PBANKA_0617200	1077	5852	5047
PBANKA_0915600	1881	10011	9339
PBANKA_1204900	223	538	642
PBANKA_API00300	0	0	4
PBANKA_1236100	49	94	93
PBANKA_0806000	358	1299	1163
PBANKA_1117500	3319	10013	9198
PBANKA_1231700	3110	7860	7052
PBANKA_0830400	16060	26543	32794
PBANKA_0829200	322	1033	1260
PBANKA_0312900	43	109	109
PBANKA_1107800	1597	4048	5313
PBANKA_0111100	318	882	1186
PBANKA_1336000	146	448	534
PBANKA_0711700	52	168	132
PBANKA_1035000	376	748	829
PBANKA_0817500	28	94	82
PBANKA_0922700	124	586	711
PBANKA_0923400	666	2491	2286
PBANKA_0708900	106	465	496
PBANKA_1209200	61	136	113
PBANKA_0516300	535	1664	1446
PBANKA_1302241	0	4	12
PBANKA_0515000	109219	231348	295795
PBANKA_0513800	304	757	676
PBANKA_1320900	2024	5539	4812
PBANKA_0920900	1052	2922	3054
PBANKA_0519300	551	2307	2077
PBANKA_1136600	24	93	78
PBANKA_0316941	0	2	0
PBANKA_0518800	151	441	377
PBANKA_1313500	231	589	675
PBANKA_1020100	1272	3242	2948
PBANKA_0938300	1043	2930	2382
PBANKA_0801600	1492	3205	3550
PBANKA_1124600	135	535	476
PBANKA_1026700	660	1613	2021
PBANKA_0214951	15	44	22
PBANKA_0904200	1011	1991	1943
PBANKA_1008200	224	966	498
PBANKA_0409100	122	355	197
PBANKA_1419800	235	1002	766
PBANKA_1327300	1223	6568	6211
PBANKA_1245400	287	743	732
PBANKA_1143100	334	761	836
PBANKA_1412100	60	135	170
PBANKA_1015000	862	1420	1610
PBANKA_0216041	3	5	5
PBANKA_0209300	3271	6385	8237
PBANKA_1105900	302	553	659
PBANKA_0927900	47	222	222
PBANKA_1021900	51	103	157
PBANKA_1206500	102	381	377
PBANKA_1007661	2	4	4
PBANKA_0943400	39187	57858	66580
PBANKA_0305000	2353	21639	14430
PBANKA_0835100	91	323	295
PBANKA_0804900	542	1487	1257
PBANKA_0609000	38	119	126
PBANKA_0510900	1621	5808	4463
PBANKA_0809600	268	851	1176
PBANKA_0604700	171	585	535
PBANKA_0818900	5690	19263	14772
PBANKA_1324800	298	628	740
PBANKA_1464000	101	603	655
PBANKA_1331300	3624	7296	7932
PBANKA_1309800	385	754	957
PBANKA_0602000	2328	5027	5120
PBANKA_1365550	43	79	92
PBANKA_0911600	514	879	965
PBANKA_0814200	447	1575	1429
PBANKA_API00453	0	0	1
PBANKA_1360600	465	1445	1433
PBANKA_0311000	1637	5551	4724
PBANKA_1444600	820	1929	1980
PBANKA_1465821	1	7	6
PBANKA_0932400	863	2980	1824
PBANKA_0302800	837	1346	1462
PBANKA_0410100	186	509	386
PBANKA_0009101	0	0	0
PBANKA_API00443	0	0	1
PBANKA_1408800	40	163	166
PBANKA_0720600	150	607	619
PBANKA_0908300	1806	3653	4532
PBANKA_0908600	389	945	1144
PBANKA_1112600	65	220	201
PBANKA_0317081	20	37	31
PBANKA_1229700	59	163	165
PBANKA_0415500	434	1378	1182
PBANKA_1457400	413	1041	1157
PBANKA_1424100	57	277	125
PBANKA_1425400	533	1476	1187
PBANKA_0209400	188	459	590
PBANKA_0206000	408	1163	1096
PBANKA_1306100	106	269	295
PBANKA_0207200	200	816	779
PBANKA_0415300	235	601	551
PBANKA_1437900	324	809	887
PBANKA_0104500	2505	4940	7286
PBANKA_1021700	161	400	382
PBANKA_1341300	197	441	537
PBANKA_API00091	0	0	0
PBANKA_1401600	574	1699	1386
PBANKA_0913400	1379	4894	3922
PBANKA_1440600	302	723	794
PBANKA_1410300	3233	9387	8995
PBANKA_1338000	119	721	772
PBANKA_1421900	532	1141	1000
PBANKA_1103500	92	414	298
PBANKA_1407650	0	0	0
PBANKA_1319100	616	1350	1650
PBANKA_0405100	174	751	695
PBANKA_1402900	584	934	1016
PBANKA_1028300	1391	3109	2977
PBANKA_0512500	611	1327	1415
PBANKA_1219400	27	105	85
PBANKA_0313300	1121	2935	2857
PBANKA_0315000	66	169	193
PBANKA_0201200	6	27	46
PBANKA_1426400	241	871	692
PBANKA_1115600	104	291	274
PBANKA_1300700	24863	45776	56735
PBANKA_1452900	203	498	607
PBANKA_0000201	0	0	0
PBANKA_0613900	182	736	688
PBANKA_1324600	51	223	144
PBANKA_1202800	488	1163	1223
PBANKA_0918600	1584	3500	3781
PBANKA_0908100	387	1189	1033
PBANKA_1341800	1661	3783	3534
PBANKA_0418100	1164	3473	3167
PBANKA_1030000	171	351	392
PBANKA_1409100	151	351	370
PBANKA_1230200	1826	3886	4131
PBANKA_1211900	2375	5175	5339
PBANKA_1237900	1102	3295	2872
PBANKA_1433000	1590	3663	3705
PBANKA_0601600	3655	7010	6847
PBANKA_0105700	226	510	465
PBANKA_1000071	0	0	0
PBANKA_0934200	849	2429	2033
PBANKA_1408300	56	188	130
PBANKA_1220900	180	540	526
PBANKA_0722600	15	34	50
PBANKA_1124400	188	673	581
PBANKA_0826800	361	967	814
PBANKA_1323000	55	286	185
PBANKA_1039700	765	1734	1798
PBANKA_0828700	418	1201	1090
PBANKA_0809400	339	1099	1081
PBANKA_0928400	335	583	935
PBANKA_1426200	2934	9252	8187
PBANKA_0932900	127	330	284
PBANKA_0315430	2	5	9
PBANKA_1111200	43	124	117
PBANKA_1362400	124	477	445
PBANKA_1415700	3968	8191	8642
PBANKA_1407500	69	236	228
PBANKA_0926000	7	45	25
PBANKA_1124000	2552	5281	6803
PBANKA_0521000	100	417	345
PBANKA_1109300	9112	16700	19507
PBANKA_0912600	5947	11664	12360
PBANKA_1234300	971	2726	2588
PBANKA_0102000	298	724	641
PBANKA_1220000	77	315	356
PBANKA_0305400	138	438	313
PBANKA_1109700	3584	8562	9037
PBANKA_0801100	515	1323	1417
PBANKA_1009800	486	909	1032
PBANKA_1416600	100	302	247
PBANKA_1355800	84	369	414
PBANKA_1454900	161	422	440
PBANKA_0819200	857	2751	2838
PBANKA_0304200	81	157	197
PBANKA_0303200	96	402	397
PBANKA_0317021	21	38	39
PBANKA_0712400	187	497	519
PBANKA_0506100	1976	6157	4486
PBANKA_1461800	1435	3180	2895
PBANKA_0107100	344	1442	872
PBANKA_0410200	104	250	188
PBANKA_1036100	80	251	184
PBANKA_1241400	8	51	55
PBANKA_1300100	198	359	407
PBANKA_1106300	181	468	454
PBANKA_1143200	32	111	145
PBANKA_1217500	192	297	251
PBANKA_1459800	388	962	980
PBANKA_1429000	71	207	211
PBANKA_0824400	7436	14361	17020
PBANKA_1345500	1511	2981	3065
PBANKA_1023800	811	2171	2339
PBANKA_0413700	112	212	222
PBANKA_0716700	786	2062	2387
PBANKA_0707400	1782	4708	4112
PBANKA_0927700	4418	8765	9295
PBANKA_0938100	27	65	102
PBANKA_1400400	389	1224	1897
PBANKA_0308000	138	486	458
PBANKA_1345400	486	1565	1545
PBANKA_1349500	111	301	242
PBANKA_1014500	223	753	914
PBANKA_1101400	1163	5517	6072
PBANKA_0405700	116	338	473
PBANKA_1454500	257	715	670
PBANKA_0517100	143	337	341
PBANKA_0211000	253	437	494
PBANKA_0902200	123	527	413
PBANKA_0416300	1745	3501	3440
PBANKA_1451600	1621	3368	3347
PBANKA_0825400	439	1139	1189
PBANKA_0100300	1	7	5
PBANKA_1349900	204	866	744
PBANKA_1442700	39	130	106
PBANKA_0303700	3526	7362	6913
PBANKA_1457500	892	1712	1644
PBANKA_1453900	1228	2564	3601
PBANKA_1441600	754	1769	1723
PBANKA_1441500	180	553	504
PBANKA_1102500	68	183	137
PBANKA_1033700	982	1978	2382
PBANKA_0906400	1030	5361	5075
PBANKA_1122800	884	1877	2172
PBANKA_0804341	0	0	4
PBANKA_1032800	216	545	496
PBANKA_1103000	1203	2359	2233
PBANKA_0921300	659	1744	1719
PBANKA_0213800	483	1004	1170
PBANKA_0827600	2294	4012	3979
PBANKA_0214800	664	1912	1977
PBANKA_1124900	611	1484	1490
PBANKA_1023000	275	965	799
PBANKA_0700541	50	130	98
PBANKA_1347400	283	877	660
PBANKA_1342200	39	131	203
PBANKA_1228000	188	680	874
PBANKA_1434700	1448	4255	3734
PBANKA_1100821	3	13	22
PBANKA_1345850	0	0	0
PBANKA_1227100	324	913	827
PBANKA_1225000	591	2618	1724
PBANKA_0514900	123497	231059	288511
PBANKA_0411600	224	646	563
PBANKA_1134500	146	394	376
PBANKA_1140700	63	77	103
PBANKA_0925700	904	2207	2178
PBANKA_1228200	1597	3286	3550
PBANKA_1361600	3136	6621	6663
PBANKA_0216761	166	571	833
PBANKA_1228700	233	588	804
PBANKA_0809200	42	207	155
PBANKA_0833800	508	1290	1429
PBANKA_1463300	5293	9036	10309
PBANKA_0503000	248	493	717
PBANKA_1329800	2063	3893	5185
PBANKA_1410500	28	76	88
PBANKA_0209000	59	297	228
PBANKA_0101000	69	260	160
PBANKA_1238300	641	1770	1962
PBANKA_1145741	9	51	60
PBANKA_0830500	8	125	46
PBANKA_API00448	0	0	2
PBANKA_0511300	229	551	520
PBANKA_0611600	42098	75803	88216
PBANKA_0720500	67	350	321
PBANKA_0207000	2831	6816	6557
PBANKA_0837141	21	63	56
PBANKA_1210500	136	309	344
PBANKA_0605000	19	76	92
PBANKA_0810900	1803	3830	3794
PBANKA_1128200	510	1008	1161
PBANKA_1444700	692	1719	1695
PBANKA_1428300	1044	2396	2364
PBANKA_1207300	86	286	233
PBANKA_0317041	5	27	18
PBANKA_1119100	234	474	566
PBANKA_0404700	1074	3392	3320
PBANKA_1321600	2191	5106	5388
PBANKA_1238500	354	1000	1415
PBANKA_0110000	484	3154	2582
PBANKA_1448100	60	238	186
PBANKA_0524500	43	141	190
PBANKA_0111500	28	118	86
PBANKA_0717900	555	1954	1416
PBANKA_1007500	974	2370	2429
PBANKA_1124200	133	459	351
PBANKA_1407300	413	1059	962
PBANKA_1340800	162	507	569
PBANKA_0818800	44	171	141
PBANKA_1117100	4162	13300	13613
PBANKA_1006800	221	591	621
PBANKA_0926600	598	1340	1413
PBANKA_1420300	267	954	1169
PBANKA_1119600	205	386	708
PBANKA_1318200	1147	2273	2511
PBANKA_0931000	113	464	431
PBANKA_1326100	1671	3774	3597
PBANKA_1309200	489	1063	1393
PBANKA_1031900	1295	3260	2679
PBANKA_0609700	223	533	514
PBANKA_API00370	0	0	1
PBANKA_0407900	236	681	757
PBANKA_0207400	145	356	303
PBANKA_0821700	874	1802	1698
PBANKA_0825100	118	290	313
PBANKA_0412900	3044	4586	5543
PBANKA_0811600	164	498	361
PBANKA_0802400	85	216	178
PBANKA_1210600	312	882	882
PBANKA_1414500	20074	34220	41412
PBANKA_0824800	774	1939	1806
PBANKA_1411100	492	1303	1026
PBANKA_0512100	105	367	435
PBANKA_1038700	1661	3046	3112
PBANKA_0605800	4848	18992	25908
PBANKA_0901500	98	293	195
PBANKA_1013500	694	1432	1637
PBANKA_0941200	1295	2160	3025
PBANKA_0936300	68	181	145
PBANKA_1040601	0	0	0
PBANKA_0313600	668	1428	1344
PBANKA_1002200	8	17	17
PBANKA_1017800	813	1980	1760
PBANKA_API00071	0	0	0
PBANKA_1447700	235	588	614
PBANKA_1348700	417	1263	1306
PBANKA_0311500	397	679	1173
PBANKA_0505000	484	842	801
PBANKA_1466221	0	0	0
PBANKA_1016800	121	420	287
PBANKA_MIT00900	0	0	0
PBANKA_0504500	1078	2002	2219
PBANKA_0606900	93	376	199
PBANKA_1217200	371	765	899
PBANKA_0932500	27780	42205	51494
PBANKA_0713900	235	695	585
PBANKA_API00380	0	0	6
PBANKA_1230300	755	1320	1398
PBANKA_0519400	1765	6728	4383
PBANKA_1101200	5015	9187	10183
PBANKA_1348800	813	2086	1607
PBANKA_0815200	458	1755	1455
PBANKA_0507200	69	303	269
PBANKA_0805300	138	433	453
PBANKA_1200061	3	5	18
PBANKA_0829400	91	435	414
PBANKA_0931800	446	1076	1241
PBANKA_1361300	1083	2367	2710
PBANKA_0317101	36	176	162
PBANKA_1220300	313	858	932
PBANKA_1039400	656	3420	2952
PBANKA_1232400	64	285	264
PBANKA_0516200	551	1675	1366
PBANKA_0617100	1578	4513	3821
PBANKA_0415200	269	797	626
PBANKA_0518700	1751	3824	3719
PBANKA_0605400	44	172	142
PBANKA_1114051	1	1	3
PBANKA_0310500	1072	2231	2304
PBANKA_0506200	1117	2789	3157
PBANKA_1361100	345	943	831
PBANKA_1200500	0	3	5
PBANKA_0617300	103	329	198
PBANKA_1430500	42	164	147
PBANKA_1001600	480	1185	1104
PBANKA_0911000	996	1975	2285
PBANKA_1429200	7829	13358	16303
PBANKA_0806500	366	898	966
PBANKA_0936200	20	76	41
PBANKA_1124100	113	531	709
PBANKA_0519700	514	1491	1517
PBANKA_0802900	102	255	274
PBANKA_1033300	363	874	864
PBANKA_0309200	548	1284	1141
PBANKA_1030400	2396	4468	4197
PBANKA_1228100	5457	11764	14614
PBANKA_1351400	585	1012	1331
PBANKA_0833700	227	607	638
PBANKA_0412100	1172	2967	2978
PBANKA_1220700	87	220	165
PBANKA_0308400	18	178	103
PBANKA_1100051	0	0	0
PBANKA_1021100	164	451	536
PBANKA_1348300	507	1108	1163
PBANKA_1038100	43	163	131
PBANKA_1457100	293	566	576
PBANKA_0110500	2217	4167	4247
PBANKA_0500950	1	0	0
PBANKA_0606400	74	187	233
PBANKA_1241700	315	1122	1412
PBANKA_0604000	34	124	101
PBANKA_0518200	477	1258	1027
PBANKA_0200500	11	131	54
PBANKA_1132600	956	3015	2745
PBANKA_0923100	85	213	212
PBANKA_1437600	32869	61802	72095
PBANKA_1333900	251	614	647
PBANKA_0503600	775	2717	2857
PBANKA_1212600	885	1675	1736
PBANKA_0103900	1517	4548	3609
PBANKA_1224200	2010	4759	5048
PBANKA_1020700	335	634	667
PBANKA_1429100	1333	2757	3981
PBANKA_1035500	369	1788	1639
PBANKA_0600031	87	173	244
PBANKA_1356800	4188	10719	11242
PBANKA_1207700	433	1897	1551
PBANKA_0314500	1619	7445	6677
PBANKA_1458600	127	258	292
PBANKA_1132900	510	1415	1181
PBANKA_1331900	1605	4040	3385
PBANKA_1229800	759	1271	1522
PBANKA_1441800	74	319	268
PBANKA_0829800	249	729	689
PBANKA_1321800	13	71	58
PBANKA_1462200	656	1457	1533
PBANKA_1229100	107	354	350
PBANKA_1125700	223	685	478
PBANKA_1213500	65	170	185
PBANKA_1010500	1286	3102	3366
PBANKA_0501600	204	461	731
PBANKA_1024300	775	1616	1650
PBANKA_1458000	350	883	785
PBANKA_1018400	237	764	797
PBANKA_1311700	782	1787	1996
PBANKA_0505200	681	2663	2708
PBANKA_0810600	1273	3925	3176
PBANKA_1446700	182	454	477
PBANKA_0204600	1518	4920	7177
PBANKA_1329000	1084	2176	2276
PBANKA_1141400	1402	2662	3059
PBANKA_1109100	42	280	123
PBANKA_1320700	2323	5991	5724
PBANKA_0811800	848	1641	1817
PBANKA_1310500	1833	4949	6411
PBANKA_0609800	249	581	651
PBANKA_0904700	647	2214	2045
PBANKA_1138700	1208	2929	2795
PBANKA_1404400	542	1187	1082
PBANKA_1327700	277	732	724
PBANKA_1332400	448	1388	1164
PBANKA_0504300	747	2427	2538
PBANKA_1319000	9873	31464	36372
PBANKA_0813900	309	963	883
PBANKA_0934300	256	1172	904
PBANKA_1302100	37	134	99
PBANKA_0700021	0	0	0
PBANKA_0615000	257	680	595
PBANKA_0928200	798	1704	1667
PBANKA_0521800	33	127	58
PBANKA_0622400	40353	66972	75627
PBANKA_1101900	44	133	107
PBANKA_1142700	279	968	1048
PBANKA_0817900	161	638	572
PBANKA_1246200	0	0	0
PBANKA_1363900	475	2225	2164
PBANKA_0501400	57	465	588
PBANKA_0938700	170	340	421
PBANKA_1237000	562	1226	1386
PBANKA_1346700	1614	6711	5682
PBANKA_0210800	110	435	327
PBANKA_1404300	60	79	77
PBANKA_0401100	2552	5810	5934
PBANKA_1008400	101	342	252
PBANKA_0907600	37	280	322
PBANKA_1459100	275	710	809
PBANKA_1460600	378	851	905
PBANKA_0214400	2151	4806	5137
PBANKA_1144400	150	448	393
PBANKA_1002600	3074	5514	7447
PBANKA_1133600	212	599	643
PBANKA_0942800	103	275	314
PBANKA_0934600	1767	3138	3563
