Geneid	271KO_RNA_1.bam	271KO_RNA_2.bam	271KO_RNA_3.bam
PBANKA_0832000	36	112	31
PBANKA_1143300	255	525	606
PBANKA_1304900	57	152	153
PBANKA_1304300	1517	3035	3501
PBANKA_1006100	1766	3339	3080
PBANKA_1015100	62	207	212
PBANKA_0400100	26	52	44
PBANKA_1417300	1828	4122	4417
PBANKA_1012300	317	723	726
PBANKA_1465200	27	81	80
PBANKA_1401000	1801	3685	3883
PBANKA_0402200	7	29	14
PBANKA_API00270	0	0	1
PBANKA_1136100	2440	4291	5512
PBANKA_1243400	86	236	273
PBANKA_0512600	341	518	688
PBANKA_0210600	2873	7875	7399
PBANKA_0919800	510	1506	1392
PBANKA_0509200	1007	2355	2232
PBANKA_0714900	38	89	102
PBANKA_0411500	80	437	257
PBANKA_1120300	93	213	306
PBANKA_1341100	717	2395	2384
PBANKA_1402500	3374	6370	6544
PBANKA_1303000	158	470	292
PBANKA_0416400	215	610	591
PBANKA_1238600	723	1697	1733
PBANKA_0106600	115	306	304
PBANKA_1208600	479	996	988
PBANKA_1300011	0	0	0
PBANKA_1237300	328	1332	1266
PBANKA_0509000	2372	6457	5748
PBANKA_1017500	195	418	435
PBANKA_0414900	340	692	721
PBANKA_1134700	336	1484	1552
PBANKA_1019310	6	33	18
PBANKA_1105200	389	844	985
PBANKA_0835400	288	1030	1667
PBANKA_1200071	0	0	0
PBANKA_0413600	128	475	441
PBANKA_1009400	106	405	464
PBANKA_0804500	649	2799	2561
PBANKA_0819800	2102	3784	4757
PBANKA_0821400	4652	13991	19463
PBANKA_1450600	126	372	392
PBANKA_1134800	92	280	367
PBANKA_0709800	321	1035	841
PBANKA_1212100	9	98	83
PBANKA_1316000	82	284	285
PBANKA_1024311	64	1146	2564
PBANKA_0606300	2826	4015	3817
PBANKA_0214500	300	834	871
PBANKA_1408000	139	360	335
PBANKA_0928600	83	214	173
PBANKA_1400051	12	22	32
PBANKA_0502300	69	313	187
PBANKA_0716300	44	217	253
PBANKA_0502900	351	1059	1144
PBANKA_0714100	891	2100	2080
PBANKA_0806900	268	706	586
PBANKA_0103500	92	174	212
PBANKA_0316600	576	3399	3195
PBANKA_1424500	1543	2955	3498
PBANKA_1244700	458	1195	1104
PBANKA_1228300	20334	36140	41680
PBANKA_0303100	126	397	323
PBANKA_1345200	183	419	484
PBANKA_1102300	586	1236	1060
PBANKA_1416100	70	418	241
PBANKA_1022300	898	2139	2481
PBANKA_0702800	6955	19684	16588
PBANKA_1357000	84	260	170
PBANKA_1335200	396	762	792
PBANKA_0911300	133	517	321
PBANKA_1453700	3240	8535	7865
PBANKA_1118600	4259	10561	8374
PBANKA_0604100	670	1499	1431
PBANKA_1226500	296	1140	711
PBANKA_0610900	2058	4450	3887
PBANKA_0605200	1846	3476	4313
PBANKA_1450100	279	738	635
PBANKA_1136300	535	1717	1556
PBANKA_1231600	3747	7419	8366
PBANKA_1353300	298	845	781
