Geneid	AP2CKO_1.bam	AP2CKO_2.bam	AP2CKO_3.bam
PBANKA_0916800	971	1384	1200
PBANKA_0623600	498	785	1103
PBANKA_0620000	1450	2491	2133
PBANKA_1409200	12833	13526	13661
PBANKA_1019370	69	98	93
PBANKA_1438900	1538	2269	1730
PBANKA_1005900	3945	6194	4857
PBANKA_1004700	1411	2202	1780
PBANKA_0620400	60866	78923	73329
PBANKA_1454000	11281	16258	13606
PBANKA_1450500	5021	7068	6025
PBANKA_1339600	12121	12821	11608
PBANKA_0611000	2190	3125	2611
PBANKA_1401300	13665	27201	20724
PBANKA_1310800	21460	43222	33175
PBANKA_0913900	11662	14535	13854
PBANKA_1329600	16232	19816	18293
PBANKA_1322100	1482	2678	2292
PBANKA_0818400	7315	8055	7546
PBANKA_1036000	17158	27525	25018
PBANKA_1018800	27570	29865	21386
PBANKA_0923000	9971	15494	13267
PBANKA_0617000	9946	10794	9033
PBANKA_0308200	440	686	680
PBANKA_1438800	2028	2695	2397
PBANKA_0605300	11363	17571	15753
PBANKA_1337600	17151	23986	21415
PBANKA_0102700	9359	13182	10814
PBANKA_0919900	30571	32860	29484
PBANKA_1408600	579	1446	1067
PBANKA_0616600	5513	6238	6119
PBANKA_1032100	27889	25576	26596
PBANKA_1351351	88	64	64
PBANKA_0829300	960	1009	759
PBANKA_0700721	202	298	295
PBANKA_1401400	1293	3279	2521
PBANKA_0828100	14134	16434	14248
PBANKA_0812200	18636	19645	19992
PBANKA_0918500	1486	1646	1666
PBANKA_1443800	18243	25214	22876
PBANKA_0414500	5605	8351	7069
PBANKA_1129600	9990	12892	8784
PBANKA_1316200	1939	3238	2789
PBANKA_0000301	17	11	12
PBANKA_1410600	3332	4623	3906
PBANKA_1409600	28749	38655	27881
PBANKA_1327200	965	1853	1262
PBANKA_0521400	3822	5563	5094
PBANKA_0905800	1943	3375	2814
PBANKA_1414100	21007	27484	25260
PBANKA_0902700	421	571	466
PBANKA_1306400	885	2193	1560
PBANKA_1233300	9245	16014	11708
PBANKA_1360800	3951	4105	3731
PBANKA_1032000	745	1700	1241
PBANKA_1432600	467	805	646
PBANKA_1358500	2947	2583	2691
PBANKA_1037600	4760	6866	6588
PBANKA_0311900	3521	5090	4296
PBANKA_0413400	6304	7887	7827
PBANKA_0908400	4965	6107	5183
PBANKA_0317141	177	176	208
PBANKA_0600300	213	419	374
PBANKA_1439400	16397	23147	20752
PBANKA_1140900	6229	8361	7581
PBANKA_0101300	549	1269	931
PBANKA_1105500	3207	5087	4136
PBANKA_0614300	2187	3316	2828
PBANKA_1143500	2210	3297	3056
PBANKA_1024700	6661	9141	8187
PBANKA_0936600	3594	4605	4530
PBANKA_1303700	7349	12188	9682
PBANKA_1328800	10317	13643	14694
PBANKA_1208100	1283	2218	1656
PBANKA_1409900	4800	7624	6066
PBANKA_1131300	437	480	522
PBANKA_0828500	5949	7409	7050
PBANKA_0810300	1696	2839	2653
PBANKA_1330800	5826	8163	5894
PBANKA_1215000	2729	4043	3503
PBANKA_0507400	2234	3755	2780
PBANKA_1428200	2717	3819	3185
PBANKA_1132400	4224	6287	5162
PBANKA_1131100	6597	10311	7898
PBANKA_0705800	8607	12780	10770
PBANKA_1224000	3636	5333	4341
PBANKA_1419200	5230	7365	6248
PBANKA_1446300	6976	10370	9055
PBANKA_1136900	11745	18305	16093
PBANKA_0602700	19777	36972	26770
PBANKA_0602400	10413	14352	12056
PBANKA_0417700	13146	18641	15442
PBANKA_1209100	3751	5614	4756
PBANKA_1113200	1954	2375	2122
PBANKA_0103400	6778	9217	7487
PBANKA_0404500	2502	4427	3527
PBANKA_1120400	365097	403587	369964
PBANKA_0711900	170512	257241	173605
PBANKA_1218800	14213	20101	20029
PBANKA_1028400	16323	29618	23105
PBANKA_0602200	694	1237	944
PBANKA_0714700	301	750	582
PBANKA_1412400	2961	4931	3645
PBANKA_1306700	233	460	403
PBANKA_0704300	12213	15341	11423
PBANKA_0942700	41570	55021	52528
PBANKA_1028800	23476	26017	25330
PBANKA_1244800	1961	2945	2557
PBANKA_1401700	1396	2090	1859
PBANKA_0830300	12830	16052	15257
PBANKA_1221500	5925	7466	6895
PBANKA_0614800	8870	11282	9007
PBANKA_1022600	6472	7817	7264
PBANKA_0207600	43411	44519	40955
PBANKA_0213200	77829	100630	89711
PBANKA_1109500	678	1020	787
PBANKA_0413800	1092	1355	1140
PBANKA_1302900	1600	3789	3056
PBANKA_0918400	1268	1601	1389
PBANKA_0406900	1802	1645	1714
PBANKA_0707800	2651	3641	3665
PBANKA_0939900	1170	2583	1877
PBANKA_1241000	5713	7268	6813
PBANKA_0408500	1542	2298	2022
PBANKA_1312000	6334	10262	9754
PBANKA_1133500	2162	4233	3234
PBANKA_1313600	1286	2002	1646
PBANKA_1300096	73	126	139
PBANKA_0612500	1042	1720	1407
PBANKA_1403900	2051	2786	2347
PBANKA_0108300	19781	21553	23699
PBANKA_1416200	966	966	1011
PBANKA_1456600	180	258	234
PBANKA_1402800	721	1232	925
PBANKA_1415300	8508	11266	10115
PBANKA_1327500	1109	2048	1590
PBANKA_1322500	1731	2832	2637
PBANKA_1019300	766	1466	1014
PBANKA_0614700	6253	7245	7137
PBANKA_1340100	35153	70503	55392
PBANKA_1003400	77639	98092	92905
PBANKA_1363200	3046	4191	3496
PBANKA_0606700	1248	1709	1611
PBANKA_0204700	3367	4573	4200
PBANKA_1116800	35252	56083	35716
PBANKA_1334800	282770	312035	277781
PBANKA_1460500	10072	11136	9132
PBANKA_0106300	653294	705522	623658
PBANKA_0812500	789	1735	1362
PBANKA_1217100	8278	9262	10000
PBANKA_0910700	17904	19849	19862
PBANKA_1242100	6153	7717	8275
PBANKA_1333200	1387	1826	1747
PBANKA_1032900	4132	6583	6107
PBANKA_1407800	9872	12781	11931
PBANKA_1005600	11567	13040	12514
PBANKA_1244100	1349	2249	1989
PBANKA_1112400	1819	2828	2536
PBANKA_1128600	6177	9403	7914
PBANKA_0415700	21003	25864	23251
PBANKA_1012100	7678	12524	10713
PBANKA_API00310	0	0	0
PBANKA_1023600	22514	26623	21668
PBANKA_0316400	3931	6416	5241
PBANKA_1465300	190	400	355
PBANKA_1364900	1926	2753	2905
PBANKA_0917990	482	453	592
PBANKA_0909400	5141	6119	5687
PBANKA_0814800	4736	5723	6284
PBANKA_1360700	6416	10505	8074
PBANKA_1008700	6725	9416	8335
PBANKA_0703500	154022	166084	138156
PBANKA_1033600	811	1267	994
PBANKA_0832600	2160	4178	2872
PBANKA_1303800	12331	22476	19728
PBANKA_0108100	8624	11862	10594
PBANKA_0202300	3374	4837	3965
PBANKA_1353500	1031	1987	1699
PBANKA_1462100	580	792	678
PBANKA_1424400	1804	3505	2615
PBANKA_1425000	11343	20383	15726
PBANKA_0519800	5041	7544	5837
PBANKA_0806600	3270	5111	3852
PBANKA_0803200	39381	52290	46607
PBANKA_0908200	5934	8324	7766
PBANKA_1214300	52074	109562	89207
PBANKA_1221700	890	1354	1216
PBANKA_0411800	2813	3754	3145
PBANKA_1458500	606	897	765
PBANKA_0705400	732	1205	1039
PBANKA_1466201	0	0	0
PBANKA_0602600	665	1126	916
PBANKA_0934900	3374	4296	3875
PBANKA_1213000	60294	89319	82712
PBANKA_0802500	4457	4428	4012
PBANKA_0938900	12155	15611	13464
PBANKA_0918100	5461	9761	6566
PBANKA_1138200	40248	53821	49310
PBANKA_1459600	1990	2824	2513
PBANKA_1412000	9050	10181	9359
PBANKA_1125800	2783	4113	3743
PBANKA_1354000	1739	2806	2398
PBANKA_1355200	15521	20537	17979
PBANKA_0316000	30729	47524	43498
PBANKA_0204100	2042	3900	2824
PBANKA_0008201	4	3	4
PBANKA_0827800	2272	3327	2715
PBANKA_1118900	3917	4881	4267
PBANKA_1309700	14336	20593	18053
PBANKA_1018100	28127	37875	33925
PBANKA_1439700	2589	3430	3003
PBANKA_1337800	5382	8764	6991
PBANKA_1114200	29368	35003	31306
PBANKA_1435100	2604	3890	3296
PBANKA_1118200	6440	8102	6904
PBANKA_1246600	71	132	118
PBANKA_0611700	1949	2352	2133
PBANKA_1341900	5201	8048	6297
PBANKA_1109000	25282	41241	34235
PBANKA_0109000	1367	2285	1629
PBANKA_1039900	1488	3534	2263
PBANKA_1437200	3618	6804	5285
PBANKA_0701000	5082	8926	8566
PBANKA_0704900	115518	123786	108019
PBANKA_1100500	31	53	48
PBANKA_1360900	1939	2444	2445
PBANKA_1010600	19554	31366	26214
PBANKA_0314100	2503	4147	3442
PBANKA_0621300	45518	55016	46575
PBANKA_0915200	7720	14718	10546
PBANKA_1458800	44096	53692	47248
PBANKA_0905700	1632	2361	2107
PBANKA_0721800	2954	3189	2911
PBANKA_0110300	509	853	790
PBANKA_0521900	5434	7740	6588
PBANKA_1363600	64444	71802	64077
PBANKA_0700041	2	3	5
PBANKA_0405000	1594	2705	1978
PBANKA_0008601	0	0	0
PBANKA_API00203	0	0	1
PBANKA_0208900	9057	8902	9544
PBANKA_1435900	278	447	502
PBANKA_1016400	4976	6201	5555
PBANKA_1125900	80724	103304	95221
PBANKA_0722000	27337	32291	29281
PBANKA_0406000	71982	87312	78865
PBANKA_API00290	1	1	0
PBANKA_1447800	1517	2238	1581
PBANKA_1312800	36391	42720	35329
PBANKA_1028600	4155	6143	5564
PBANKA_0929800	5953	10697	8351
PBANKA_0813100	4479	7055	5874
PBANKA_1342500	168348	198372	189183
PBANKA_0713500	16841	20693	18318
PBANKA_1400500	58	46	71
PBANKA_0931600	8397	10959	10259
PBANKA_1450300	13924	21845	16890
PBANKA_0202000	12230	17461	14796
PBANKA_1216700	24150	32708	30933
PBANKA_0216000	1317	2462	1951
PBANKA_0825600	3782	5160	4261
PBANKA_1108700	104984	134692	114804
PBANKA_1226900	6653	7900	7762
PBANKA_0819450	2067	3026	2597
PBANKA_1407200	2389	3404	2765
PBANKA_1421500	141057	158083	143560
PBANKA_1010400	2454	2611	2544
PBANKA_1442300	22141	30157	25863
PBANKA_1000021	1	3	2
PBANKA_1131200	1307	1766	1584
PBANKA_0704000	1604	2476	1977
PBANKA_1409000	2893	3948	3629
PBANKA_0411950	4812	6388	5928
PBANKA_1213800	1900	2676	1827
PBANKA_1427900	635	1102	872
PBANKA_0000801	0	0	0
PBANKA_1310100	377	659	585
PBANKA_1221800	2587	4051	3139
PBANKA_0102400	7440	8679	7240
PBANKA_0623100	81446	136597	120676
PBANKA_1319500	362328	440216	398481
PBANKA_1445100	2411	4213	3084
PBANKA_1358400	1153	2454	2194
PBANKA_1033800	41469	62304	54842
PBANKA_0933300	4009	6840	5407
PBANKA_1442200	209250	305560	233182
PBANKA_0607700	82633	96741	84828
PBANKA_0907300	2277	4124	2823
PBANKA_0815000	1657	2498	2318
PBANKA_0614100	3559	5915	4512
PBANKA_1032500	4848	7572	6079
PBANKA_1104000	3488	4283	3531
PBANKA_1205200	11337	13187	12262
PBANKA_1418800	4048	6510	5056
PBANKA_0812700	9621	15097	13312
PBANKA_1016000	9772	12122	10363
PBANKA_0400800	88	186	153
PBANKA_1400061	75	170	231
PBANKA_1426500	11814	14722	13371
PBANKA_0519200	9468	10382	9735
PBANKA_1028000	14408	16260	13499
PBANKA_1128400	312	622	544
PBANKA_0209700	14198	17226	13163
PBANKA_1301800	29588	42416	35419
PBANKA_1353800	252840	301417	270666
PBANKA_1454700	738	1765	1181
PBANKA_1352641	19	22	20
PBANKA_1223800	45403	58965	52417
PBANKA_1218000	32778	40475	37560
PBANKA_1145721	20	27	37
PBANKA_MIT01200	55	73	52
PBANKA_0511100	2036	3479	3009
PBANKA_1245920	2	3	3
PBANKA_0416200	11075	16072	14473
PBANKA_1441700	4700	8828	7654
PBANKA_1202200	27651	40918	36160
PBANKA_1466161	0	2	2
PBANKA_0308100	1928	3268	2466
PBANKA_0941400	2549	3329	3700
PBANKA_MIT01700	1120	1333	1246
PBANKA_1215500	4484	7533	6100
PBANKA_0917900	11511	18783	15275
PBANKA_1144200	3470	4739	4184
PBANKA_1309900	7957	15721	12847
PBANKA_MIT01000	611	867	613
PBANKA_0208600	1338	2244	1851
PBANKA_0922400	1957	3513	2701
PBANKA_1129700	5144	8039	8056
PBANKA_0008701	0	0	0
PBANKA_1460400	4238	8840	5621
PBANKA_0837001	108	158	182
PBANKA_1236400	3287	4533	3806
PBANKA_1000651	1	2	0
PBANKA_1012500	20834	27314	24254
PBANKA_0112641	1466	2383	2027
PBANKA_1452000	5444	6822	6512
PBANKA_1362700	1190	1452	1456
PBANKA_1443900	16160	19004	15514
PBANKA_1110500	9363	17084	12705
PBANKA_1037400	2727	3181	3655
PBANKA_1427800	19650	28947	24819
PBANKA_0905400	2344	2585	2378
PBANKA_1143400	21292	25116	23389
PBANKA_1445400	12496	22607	16890
PBANKA_0915300	8254	12037	11621
PBANKA_1140500	4370	6099	5096
PBANKA_0618000	398	487	406
PBANKA_0809800	867	1345	1335
PBANKA_1036800	822	1828	1268
PBANKA_0306900	21853	26941	25042
PBANKA_1353700	2954	4225	3854
PBANKA_0941700	2709	4438	3892
PBANKA_1365300	10314	16893	14294
PBANKA_0944081	60	120	120
PBANKA_0512900	3718	5447	4930
PBANKA_0932300	2802	3277	2908
PBANKA_0814600	753	1271	996
PBANKA_0208700	3808	7254	5826
PBANKA_0820000	5917	10373	8811
PBANKA_0514500	6423	9423	6692
PBANKA_0508400	1479	2176	1735
PBANKA_1462600	427	803	961
PBANKA_1461200	5912	8250	7147
PBANKA_1202700	105268	131341	108767
PBANKA_1463000	268691	292245	236046
PBANKA_0517800	3832	6383	4859
PBANKA_0109900	29008	32767	25136
PBANKA_1025100	56175	79181	69965
PBANKA_0600700	2680	5192	4430
PBANKA_1448800	9576	13729	12105
PBANKA_0808900	19210	28524	22640
PBANKA_0513500	347	350	290
PBANKA_0929000	1598	2165	2165
PBANKA_0410800	2492	4857	3462
PBANKA_0307800	48347	61844	53806
PBANKA_0701200	8961	11327	11100
PBANKA_0914400	19702	42599	33626
PBANKA_1129000	18642	20018	20940
PBANKA_0517600	76846	95147	93315
PBANKA_0801800	135395	157117	146453
PBANKA_1025700	1881	2114	2306
PBANKA_0704100	10588	14999	12114
PBANKA_1134600	423	511	459
PBANKA_1442600	8576	10449	8730
PBANKA_1139800	8778	11771	11297
PBANKA_1422900	76610	89847	91423
PBANKA_0110700	1810	2110	1830
PBANKA_0821000	443	851	692
PBANKA_1211800	1859	2646	2310
PBANKA_0216701	49	75	94
PBANKA_1439800	1344	1814	1694
PBANKA_0709200	1650	3122	2558
PBANKA_1244600	2407	4807	3410
PBANKA_1327000	2335	4552	3819
PBANKA_0918000	25256	48838	39859
PBANKA_1122500	8742	11573	9698
PBANKA_0416900	513	800	561
PBANKA_1432500	12694	21149	18240
PBANKA_0617200	10372	20088	15823
PBANKA_0915600	12052	15805	15096
PBANKA_1204900	3637	4851	4133
PBANKA_API00300	2	5	1
PBANKA_1236100	652	1351	984
PBANKA_0806000	1572	3028	2892
PBANKA_1117500	25686	41216	33562
PBANKA_1231700	20632	40042	32765
PBANKA_0830400	108354	121567	119876
PBANKA_0829200	3559	4810	4880
PBANKA_0312900	957	1469	1103
PBANKA_1107800	20790	24725	21911
PBANKA_0111100	4949	5617	5401
PBANKA_1336000	1778	2904	2153
PBANKA_0711700	1813	2471	1989
PBANKA_1035000	6104	7250	6951
PBANKA_0817500	516	1035	778
PBANKA_0922700	1508	1839	1581
PBANKA_0923400	9571	17130	13949
PBANKA_0708900	1176	1634	1373
PBANKA_1209200	1074	1274	1034
PBANKA_0516300	4617	7679	5950
PBANKA_1302241	34	39	41
PBANKA_0515000	586380	668700	642279
PBANKA_0513800	3272	5555	4576
PBANKA_1320900	14935	23678	17263
PBANKA_0920900	14428	20459	18038
PBANKA_0519300	9476	11388	12201
PBANKA_1136600	618	999	822
PBANKA_0316941	20	28	22
PBANKA_0518800	1716	4092	3511
PBANKA_1313500	2072	3639	3196
PBANKA_1020100	15088	18393	16837
PBANKA_0938300	13477	22669	17890
PBANKA_0801600	17084	23092	22394
PBANKA_1124600	1868	3046	2274
PBANKA_1026700	5013	6609	6160
PBANKA_0214951	200	593	328
PBANKA_0904200	29342	33107	24599
PBANKA_1008200	3231	6674	4746
PBANKA_0409100	2470	5192	3594
PBANKA_1419800	6762	8192	7490
PBANKA_1327300	9603	19336	17254
PBANKA_1245400	5628	8117	6598
PBANKA_1143100	5511	6395	5241
PBANKA_1412100	589	1326	1184
PBANKA_1015000	6588	8943	8567
PBANKA_0216041	26	30	49
PBANKA_0209300	20660	23361	22432
PBANKA_1105900	3317	3955	3616
PBANKA_0927900	1174	2215	1888
PBANKA_1021900	537	967	805
PBANKA_1206500	1630	2414	1902
PBANKA_1007661	4	1	1
PBANKA_0943400	250263	289233	271143
PBANKA_0305000	62476	83882	78323
PBANKA_0835100	1114	2055	1587
PBANKA_0804900	6067	9608	7610
PBANKA_0609000	1110	1575	1136
PBANKA_0510900	11736	23697	18080
PBANKA_0809600	4667	6422	5936
PBANKA_0604700	2802	4607	3506
PBANKA_0818900	58361	104636	82668
PBANKA_1324800	5008	5404	4765
PBANKA_1464000	2919	4479	3752
PBANKA_1331300	48661	65617	57370
PBANKA_1309800	5992	6906	6555
PBANKA_0602000	25999	33592	27894
PBANKA_1365550	1209	1887	1497
PBANKA_0911600	4799	6384	5688
PBANKA_0814200	8494	14172	9896
PBANKA_API00453	0	1	0
PBANKA_1360600	3556	5562	5313
PBANKA_0311000	20192	33203	24612
PBANKA_1444600	8477	11847	10740
PBANKA_1465821	17	51	33
PBANKA_0932400	9438	24367	17526
PBANKA_0302800	7607	10032	8808
PBANKA_0410100	2250	3582	2702
PBANKA_0009101	0	1	1
PBANKA_API00443	0	0	0
PBANKA_1408800	716	1045	956
PBANKA_0720600	1556	2492	2166
PBANKA_0908300	20882	27567	27520
PBANKA_0908600	1039	1179	1499
PBANKA_1112600	1141	2137	1477
PBANKA_0317081	291	724	473
PBANKA_1229700	1199	1305	1087
PBANKA_0415500	7355	12982	9984
PBANKA_1457400	5875	12063	9888
PBANKA_1424100	684	1658	1074
PBANKA_1425400	8543	13936	10686
PBANKA_0209400	2549	2643	2600
PBANKA_0206000	6695	7980	6702
PBANKA_1306100	1692	2829	2232
PBANKA_0207200	4054	5991	4893
PBANKA_0415300	5931	8221	6244
PBANKA_1437900	3690	4118	4273
PBANKA_0104500	35202	38363	37278
PBANKA_1021700	3092	5225	3974
PBANKA_1341300	2603	3201	2954
PBANKA_API00091	0	0	0
PBANKA_1401600	5577	9096	7075
PBANKA_0913400	14392	25524	23196
PBANKA_1440600	6836	9886	8849
PBANKA_1410300	38298	67599	56226
PBANKA_1338000	2281	2799	2314
PBANKA_1421900	5369	8360	6586
PBANKA_1103500	2428	5110	3777
PBANKA_1407650	0	0	0
PBANKA_1319100	5103	6114	5585
PBANKA_0405100	1900	2881	2463
PBANKA_1402900	4431	5827	5515
PBANKA_1028300	10607	17669	14663
PBANKA_0512500	16488	17178	13922
PBANKA_1219400	440	924	726
PBANKA_0313300	12421	17252	14160
PBANKA_0315000	838	2269	1651
PBANKA_0201200	117	207	215
PBANKA_1426400	5067	7894	6331
PBANKA_1115600	3891	4537	3235
PBANKA_1300700	204676	242817	211632
PBANKA_1452900	3023	3581	3456
PBANKA_0000201	0	0	0
PBANKA_0613900	3550	5480	5573
PBANKA_1324600	880	1765	1292
PBANKA_1202800	8252	10277	8117
PBANKA_0918600	25618	28170	23917
PBANKA_0908100	5211	7420	5766
PBANKA_1341800	28294	38079	32424
PBANKA_0418100	21530	29172	25330
PBANKA_1030000	1334	2971	2872
PBANKA_1409100	1196	2192	1848
PBANKA_1230200	16966	22593	20771
PBANKA_1211900	27510	36069	33832
PBANKA_1237900	11405	17914	14708
PBANKA_1433000	19111	25676	20985
PBANKA_0601600	40464	56001	46823
PBANKA_0105700	2602	3007	2469
PBANKA_1000071	0	0	0
PBANKA_0934200	8046	14113	11003
PBANKA_1408300	643	1796	1157
PBANKA_1220900	1162	1858	1718
PBANKA_0722600	2658	3677	2903
PBANKA_1124400	4084	4145	3553
PBANKA_0826800	5317	6888	6112
PBANKA_1323000	1145	2008	1812
PBANKA_1039700	7349	10573	9029
PBANKA_0828700	4185	7706	6417
PBANKA_0809400	6001	8102	7620
PBANKA_0928400	5226	6190	5806
PBANKA_1426200	39355	61036	47337
PBANKA_0932900	782	1202	1172
PBANKA_0315430	15	41	28
PBANKA_1111200	544	573	488
PBANKA_1362400	3503	4940	4294
PBANKA_1415700	52955	62409	53983
PBANKA_1407500	1131	1801	1476
PBANKA_0926000	194	519	407
PBANKA_1124000	22149	25384	23940
PBANKA_0521000	2737	5639	4290
PBANKA_1109300	66066	83316	82436
PBANKA_0912600	58965	74295	70982
PBANKA_1234300	13913	19140	16720
PBANKA_0102000	2288	3524	3264
PBANKA_1220000	2326	3106	2395
PBANKA_0305400	2518	3661	3098
PBANKA_1109700	52568	71715	60325
PBANKA_0801100	13121	14799	10684
PBANKA_1009800	3883	5173	4441
PBANKA_1416600	945	1977	1646
PBANKA_1355800	840	1471	1295
PBANKA_1454900	4198	5011	4030
PBANKA_0819200	9432	14744	11857
PBANKA_0304200	805	1146	1110
PBANKA_0303200	1173	2352	1910
PBANKA_0317021	70	149	151
PBANKA_0712400	2745	3757	3639
PBANKA_0506100	40478	63221	48915
PBANKA_1461800	11341	17383	14333
PBANKA_0107100	4090	8699	6043
PBANKA_0410200	2827	3643	2649
PBANKA_1036100	1663	2477	2112
PBANKA_1241400	455	500	363
PBANKA_1300100	361	432	723
PBANKA_1106300	2514	3614	3050
PBANKA_1143200	567	782	715
PBANKA_1217500	3195	5115	3818
PBANKA_1459800	5830	8746	6468
PBANKA_1429000	839	1636	1398
PBANKA_0824400	103890	123430	91232
PBANKA_1345500	20533	24085	20811
PBANKA_1023800	15722	21859	20375
PBANKA_0413700	534	867	795
PBANKA_0716700	16084	19668	17139
PBANKA_0707400	13292	18950	16146
PBANKA_0927700	50092	75647	69863
PBANKA_0938100	488	815	825
PBANKA_1400400	184	288	287
PBANKA_0308000	2457	3877	3074
PBANKA_1345400	6250	8794	7643
PBANKA_1349500	1499	2295	1900
PBANKA_1014500	3962	3805	3879
PBANKA_1101400	20823	19774	20418
PBANKA_0405700	1891	2380	1807
PBANKA_1454500	2624	4350	3711
PBANKA_0517100	759	1474	1190
PBANKA_0211000	2881	4192	3621
PBANKA_0902200	1746	3101	2427
PBANKA_0416300	14777	21149	17989
PBANKA_1451600	15891	23004	20063
PBANKA_0825400	8890	10212	8994
PBANKA_0100300	9	17	15
PBANKA_1349900	4523	8008	6129
PBANKA_1442700	460	832	653
PBANKA_0303700	32222	46493	42493
PBANKA_1457500	9585	13149	10801
PBANKA_1453900	14931	15261	14640
PBANKA_1441600	6152	8348	8108
PBANKA_1441500	3055	4729	4276
PBANKA_1102500	2537	3578	2565
PBANKA_1033700	11359	16467	14706
PBANKA_0906400	7646	14457	11416
PBANKA_1122800	7037	9343	9224
PBANKA_0804341	7	11	5
PBANKA_1032800	2715	3975	3050
PBANKA_1103000	12611	20340	17420
PBANKA_0921300	4597	8021	6788
PBANKA_0213800	6849	7661	6897
PBANKA_0827600	23252	29078	27031
PBANKA_0214800	8309	13443	12186
PBANKA_1124900	5012	8007	6524
PBANKA_1023000	7115	10344	7982
PBANKA_0700541	138	390	420
PBANKA_1347400	3868	5753	4410
PBANKA_1342200	645	882	831
PBANKA_1228000	2710	4426	4076
PBANKA_1434700	24541	38466	30116
PBANKA_1100821	63	82	97
PBANKA_1345850	0	0	0
PBANKA_1227100	10099	12612	10751
PBANKA_1225000	14992	20784	17722
PBANKA_0514900	1051309	1225168	1139049
PBANKA_0411600	5530	8163	6244
PBANKA_1134500	4376	6280	5318
PBANKA_1140700	350	603	653
PBANKA_0925700	7008	11444	10244
PBANKA_1228200	16098	21453	17836
PBANKA_1361600	38397	48533	44524
PBANKA_0216761	5268	4675	4777
PBANKA_1228700	4053	5860	5788
PBANKA_0809200	770	1370	1094
PBANKA_0833800	6633	8842	8004
PBANKA_1463300	108334	119186	98176
PBANKA_0503000	3377	3911	3848
PBANKA_1329800	20650	23105	22516
PBANKA_1410500	280	433	398
PBANKA_0209000	1678	2234	2183
PBANKA_0101000	1241	2905	1828
PBANKA_1238300	4798	6094	5574
PBANKA_1145741	37	28	48
PBANKA_0830500	522	1179	721
PBANKA_API00448	0	0	0
PBANKA_0511300	2327	3101	2589
PBANKA_0611600	322327	377404	335983
PBANKA_0720500	708	1190	982
PBANKA_0207000	23636	34788	29409
PBANKA_0837141	173	337	272
PBANKA_1210500	2452	3019	2839
PBANKA_0605000	656	801	687
PBANKA_0810900	19784	24800	21255
PBANKA_1128200	6021	9988	9628
PBANKA_1444700	12806	17041	14282
PBANKA_1428300	10531	14985	13381
PBANKA_1207300	1320	2630	2154
PBANKA_0317041	57	107	106
PBANKA_1119100	3352	4486	3914
PBANKA_0404700	9540	13688	11390
PBANKA_1321600	32924	44422	40765
PBANKA_1238500	9354	11224	10365
PBANKA_0110000	4433	9699	6906
PBANKA_1448100	1244	2282	1654
PBANKA_0524500	971	977	955
PBANKA_0111500	516	622	509
PBANKA_0717900	6285	10249	7260
PBANKA_1007500	6266	9321	9079
PBANKA_1124200	3373	5212	4310
PBANKA_1407300	4024	6165	5513
PBANKA_1340800	1519	2075	1773
PBANKA_0818800	833	1248	957
PBANKA_1117100	21272	29121	28235
PBANKA_1006800	2927	4403	4355
PBANKA_0926600	8249	10825	9870
PBANKA_1420300	5150	7531	6154
PBANKA_1119600	2777	2432	2716
PBANKA_1318200	9083	12054	10208
PBANKA_0931000	2739	4068	3111
PBANKA_1326100	12908	20381	19453
PBANKA_1309200	8202	10919	11463
PBANKA_1031900	9268	18645	14810
PBANKA_0609700	4326	6656	5530
PBANKA_API00370	0	3	0
PBANKA_0407900	2735	3795	3338
PBANKA_0207400	1871	2526	2232
PBANKA_0821700	5482	10256	8810
PBANKA_0825100	971	1789	1313
PBANKA_0412900	14203	16528	17910
PBANKA_0811600	1950	3992	2890
PBANKA_0802400	2154	2962	2584
PBANKA_1210600	6486	6616	6277
PBANKA_1414500	135525	159444	156520
PBANKA_0824800	5649	9896	8505
PBANKA_1411100	5508	8856	6594
PBANKA_0512100	1935	2853	2549
PBANKA_1038700	12317	16358	16276
PBANKA_0605800	42446	49765	46273
PBANKA_0901500	1475	2377	1774
PBANKA_1013500	5862	9194	8677
PBANKA_0941200	8127	10799	11302
PBANKA_0936300	2311	3162	2462
PBANKA_1040601	0	0	0
PBANKA_0313600	10300	12570	10557
PBANKA_1002200	44	64	84
PBANKA_1017800	12723	17507	15033
PBANKA_API00071	0	0	0
PBANKA_1447700	2624	4600	3680
PBANKA_1348700	12111	14900	12873
PBANKA_0311500	3981	3563	3921
PBANKA_0505000	3357	4721	4308
PBANKA_1466221	0	0	0
PBANKA_1016800	714	1772	1412
PBANKA_MIT00900	0	0	0
PBANKA_0504500	11610	12644	11380
PBANKA_0606900	1883	3842	2554
PBANKA_1217200	6034	7600	6499
PBANKA_0932500	218593	256422	236439
PBANKA_0713900	2439	3991	3129
PBANKA_API00380	0	1	1
PBANKA_1230300	5618	7815	7049
PBANKA_0519400	26263	42816	38593
PBANKA_1101200	65042	76870	63577
PBANKA_1348800	14576	19055	16117
PBANKA_0815200	6666	10649	8386
PBANKA_0507200	936	1324	1177
PBANKA_0805300	1579	2016	1901
PBANKA_1200061	31	45	54
PBANKA_0829400	1105	1664	1455
PBANKA_0931800	4614	6201	5274
PBANKA_1361300	13392	16031	15426
PBANKA_0317101	38	57	79
PBANKA_1220300	4251	6379	5412
PBANKA_1039400	8122	16070	10262
PBANKA_1232400	2032	2270	1875
PBANKA_0516200	6178	9987	8027
PBANKA_0617100	19733	37078	27675
PBANKA_0415200	2782	3982	3431
