Geneid	AP2CKO_1.bam	AP2CKO_2.bam	AP2CKO_3.bam
PBANKA_1117400	3782	6076	4347
PBANKA_1201300	1953	2506	2197
PBANKA_0803300	2459	4130	3441
PBANKA_1302700	7498	10625	8593
PBANKA_1354700	2353	3828	3018
PBANKA_0721000	7412	8290	7953
PBANKA_1411200	41710	46953	41687
PBANKA_0903800	182409	202612	187653
PBANKA_0718700	3144	4558	3945
PBANKA_1445600	3952	6133	6224
PBANKA_1126400	11497	19083	15204
PBANKA_0832000	1002	1360	863
PBANKA_1143300	4243	6039	5890
PBANKA_1304900	1182	2036	1636
PBANKA_1304300	17192	22115	21661
PBANKA_1006100	16299	23115	20588
PBANKA_1015100	1016	1441	1183
PBANKA_0400100	193	558	416
PBANKA_1417300	17872	25162	22506
PBANKA_1012300	5577	8607	7010
PBANKA_1465200	199	326	332
PBANKA_1401000	16098	24645	21823
PBANKA_0402200	49	171	135
PBANKA_API00270	1	2	0
PBANKA_1136100	21694	27926	27901
PBANKA_1243400	3264	4114	3579
PBANKA_0512600	4991	6281	5741
PBANKA_0210600	41517	62383	46668
PBANKA_0919800	6720	9728	7445
PBANKA_0509200	13890	19267	16956
PBANKA_0714900	270	418	476
PBANKA_0411500	2276	4155	3036
PBANKA_1120300	1807	2521	2452
PBANKA_1341100	11969	15434	12135
PBANKA_1402500	28162	36203	34668
PBANKA_1303000	1513	4415	3055
PBANKA_0416400	2820	4229	3339
PBANKA_1238600	5995	9295	8355
PBANKA_0106600	1207	2301	1942
PBANKA_1208600	6975	9192	8964
PBANKA_1300011	0	0	0
PBANKA_1237300	4108	5303	4962
PBANKA_0509000	29525	44975	38836
PBANKA_1017500	2451	2551	2601
PBANKA_0414900	6513	7124	5596
PBANKA_1134700	3276	4550	3954
PBANKA_1019310	88	113	90
PBANKA_1105200	6334	7604	7224
PBANKA_0835400	5039	5832	5335
PBANKA_1200071	0	0	0
PBANKA_0413600	1635	3448	2910
PBANKA_1009400	2104	3521	2694
PBANKA_0804500	17978	16762	16409
PBANKA_0819800	17237	23567	22527
PBANKA_0821400	25831	25985	27767
PBANKA_1450600	3149	4479	3661
PBANKA_1134800	1418	3054	2906
PBANKA_0709800	5960	8376	7504
PBANKA_1212100	380	519	387
PBANKA_1316000	1828	2796	2274
PBANKA_1024311	54	88	122
PBANKA_0606300	23602	29657	27544
PBANKA_0214500	3588	4636	3828
PBANKA_1408000	1902	3553	2818
PBANKA_0928600	898	1674	1173
PBANKA_1400051	144	225	231
PBANKA_0502300	1623	3856	2729
PBANKA_0716300	852	1224	1040
