Geneid,AP2CKO_1.bam,AP2CKO_2.bam,AP2CKO_3.bam,271KO_RNA_1.bam,271KO_RNA_2.bam,271KO_RNA_3.bam
PBANKA_0902400,13780,19160,16445,1081,2445,2481
PBANKA_0406300,5669,8833,7093,541,1388,1286
PBANKA_1420600,18661,25094,23918,1642,6864,7528
PBANKA_0515500,1139,1885,1651,99,357,401
PBANKA_1216300,8106,9890,8969,596,1098,1042
PBANKA_0800700,4880,6817,5755,255,671,643
PBANKA_0601300,1350,2105,1725,166,464,411
PBANKA_0609900,11807,19271,16390,1581,3626,3061
PBANKA_0317061,1684,2595,2473,130,835,651
PBANKA_1015500,7730,9555,8150,25,75,82
PBANKA_0502400,1654,2721,2318,209,486,369
PBANKA_0936000,11295,11991,10597,1105,2086,2634
PBANKA_0105200,4564,7936,7166,307,1072,902
PBANKA_1349400,6506,8352,8012,794,1459,1606
PBANKA_0105500,1449,3342,2378,120,639,582
PBANKA_0210500,12170,15784,13637,902,2309,2248
PBANKA_1141800,470,981,772,19,65,83
PBANKA_0812800,12132,17589,15643,1918,3610,4656
PBANKA_1014200,2712,3230,3019,158,391,444
PBANKA_1432000,2065,2800,2393,130,335,354
PBANKA_1209700,1422,1626,1404,55,168,195
PBANKA_1122400,3640,5265,4442,533,1717,1780
PBANKA_0703600,7864,10476,8951,263,830,716
PBANKA_0001201,6,9,10,3,6,1
PBANKA_0202100,119,162,167,7,25,19
PBANKA_0316821,380,591,589,31,97,83
PBANKA_1352700,5363,9016,6870,328,848,682
PBANKA_1448600,532,837,662,11,79,64
PBANKA_MIT02500,0,0,0,0,0,0
PBANKA_0936800,6900,10857,10294,787,2030,1774
PBANKA_1458300,42789,55648,51024,4534,8942,9664
PBANKA_0623400,2642,3628,3669,143,1013,735
PBANKA_0106200,23304,31245,24699,1721,4053,3984
PBANKA_0905200,16759,18345,19398,2052,3474,5260
PBANKA_0714600,7105,7605,8172,939,1549,1610
PBANKA_1406500,6515,7492,7195,434,929,1178
PBANKA_0307500,2049,1797,1755,135,355,385
PBANKA_1225900,298530,322111,266598,11199,23347,25010
PBANKA_0107900,11733,14580,12333,719,1590,1613
PBANKA_1241100,9853,12208,11531,931,1829,2285
PBANKA_0415800,7807,11826,10144,435,1424,1283
PBANKA_1136500,652,1293,938,35,124,139
PBANKA_1431700,3929,6452,4818,191,564,405
PBANKA_0922500,23652,36717,32286,1973,6585,6234
PBANKA_0306200,3364,5316,4557,307,781,711
PBANKA_0511800,7202,10122,8988,683,1903,1893
PBANKA_1102100,23997,29397,22013,519,1278,1237
PBANKA_1002300,789,1170,1279,75,199,236
PBANKA_1415900,792,2270,1461,53,193,121
PBANKA_0822900,16833,24995,22007,2116,4201,3645
PBANKA_1117400,3782,6076,4347,147,340,333
PBANKA_1201300,1953,2506,2197,134,481,585
PBANKA_0803300,2459,4130,3441,197,460,391
PBANKA_1302700,7498,10625,8593,1007,3169,3336
PBANKA_1354700,2353,3828,3018,144,445,302
PBANKA_0721000,7412,8290,7953,589,1227,1600
PBANKA_1411200,41710,46953,41687,2619,5086,5422
PBANKA_0903800,182409,202612,187653,14114,27709,33321
PBANKA_0718700,3144,4558,3945,264,817,862
PBANKA_1445600,3952,6133,6224,150,669,591
PBANKA_1126400,11497,19083,15204,1103,2856,2552
PBANKA_0832000,1002,1360,863,36,112,31
PBANKA_1143300,4243,6039,5890,255,525,606
PBANKA_1304900,1182,2036,1636,57,152,153
PBANKA_1304300,17192,22115,21661,1517,3035,3501
PBANKA_1006100,16299,23115,20588,1766,3339,3080
PBANKA_1015100,1016,1441,1183,62,207,212
PBANKA_0400100,193,558,416,26,52,44
PBANKA_1417300,17872,25162,22506,1828,4122,4417
PBANKA_1012300,5577,8607,7010,317,723,726
PBANKA_1465200,199,326,332,27,81,80
PBANKA_1401000,16098,24645,21823,1801,3685,3883
PBANKA_0402200,49,171,135,7,29,14
PBANKA_API00270,1,2,0,0,0,1
PBANKA_1136100,21694,27926,27901,2440,4291,5512
PBANKA_1243400,3264,4114,3579,86,236,273
PBANKA_0512600,4991,6281,5741,341,518,688
PBANKA_0210600,41517,62383,46668,2873,7875,7399
PBANKA_0919800,6720,9728,7445,510,1506,1392
PBANKA_0509200,13890,19267,16956,1007,2355,2232
PBANKA_0714900,270,418,476,38,89,102
PBANKA_0411500,2276,4155,3036,80,437,257
PBANKA_1120300,1807,2521,2452,93,213,306
PBANKA_1341100,11969,15434,12135,717,2395,2384
PBANKA_1402500,28162,36203,34668,3374,6370,6544
PBANKA_1303000,1513,4415,3055,158,470,292
PBANKA_0416400,2820,4229,3339,215,610,591
PBANKA_1238600,5995,9295,8355,723,1697,1733
PBANKA_0106600,1207,2301,1942,115,306,304
PBANKA_1208600,6975,9192,8964,479,996,988
PBANKA_1300011,0,0,0,0,0,0
PBANKA_1237300,4108,5303,4962,328,1332,1266
PBANKA_0509000,29525,44975,38836,2372,6457,5748
PBANKA_1017500,2451,2551,2601,195,418,435
PBANKA_0414900,6513,7124,5596,340,692,721
PBANKA_1134700,3276,4550,3954,336,1484,1552
PBANKA_1019310,88,113,90,6,33,18
PBANKA_1105200,6334,7604,7224,389,844,985
PBANKA_0835400,5039,5832,5335,288,1030,1667
PBANKA_1200071,0,0,0,0,0,0
PBANKA_0413600,1635,3448,2910,128,475,441
PBANKA_1009400,2104,3521,2694,106,405,464
PBANKA_0804500,17978,16762,16409,649,2799,2561
PBANKA_0819800,17237,23567,22527,2102,3784,4757
PBANKA_0821400,25831,25985,27767,4652,13991,19463
PBANKA_1450600,3149,4479,3661,126,372,392
PBANKA_1134800,1418,3054,2906,92,280,367
PBANKA_0709800,5960,8376,7504,321,1035,841
PBANKA_1212100,380,519,387,9,98,83
PBANKA_1316000,1828,2796,2274,82,284,285
PBANKA_1024311,54,88,122,64,1146,2564
PBANKA_0606300,23602,29657,27544,2826,4015,3817
PBANKA_0214500,3588,4636,3828,300,834,871
PBANKA_1408000,1902,3553,2818,139,360,335
PBANKA_0928600,898,1674,1173,83,214,173
PBANKA_1400051,144,225,231,12,22,32
PBANKA_0502300,1623,3856,2729,69,313,187
PBANKA_0716300,852,1224,1040,44,217,253
PBANKA_0502900,9165,12261,10462,351,1059,1144
PBANKA_0714100,6947,6181,5902,891,2100,2080
PBANKA_0806900,3331,5653,4908,268,706,586
PBANKA_0103500,1235,1553,1381,92,174,212
PBANKA_0316600,23908,29914,28649,576,3399,3195
PBANKA_1424500,21821,23734,21093,1543,2955,3498
PBANKA_1244700,7527,10098,8572,458,1195,1104
PBANKA_1228300,234057,258332,222930,20334,36140,41680
PBANKA_0303100,1282,2534,2000,126,397,323
PBANKA_1345200,2068,2672,2183,183,419,484
PBANKA_1102300,15037,17403,15272,586,1236,1060
PBANKA_1416100,2396,4517,3332,70,418,241
PBANKA_1022300,6402,8670,7910,898,2139,2481
PBANKA_0702800,64610,103152,85615,6955,19684,16588
PBANKA_1357000,1214,2903,1960,84,260,170
PBANKA_1335200,3229,5499,4693,396,762,792
PBANKA_0911300,928,2723,1837,133,517,321
PBANKA_1453700,52121,71451,60062,3240,8535,7865
PBANKA_1118600,24575,42111,34033,4259,10561,8374
PBANKA_0604100,8958,13248,11453,670,1499,1431
PBANKA_1226500,4349,8934,6193,296,1140,711
PBANKA_0610900,18381,33395,27308,2058,4450,3887
PBANKA_0605200,15297,24690,26341,1846,3476,4313
PBANKA_1450100,2781,4684,3616,279,738,635
PBANKA_1136300,4078,5378,4796,535,1717,1556
PBANKA_1231600,59718,72828,63927,3747,7419,8366
PBANKA_1353300,5106,7435,5885,298,845,781
PBANKA_1213100,4775,6415,6323,666,1333,1454
PBANKA_1226300,2707,3701,3537,99,324,254
PBANKA_1142800,28282,44304,34606,2581,4853,4560
PBANKA_1463600,351,787,600,26,97,70
PBANKA_0909200,7551,9270,7789,339,776,850
PBANKA_0001101,11,9,17,2,1,5
PBANKA_1143000,4927,8405,6979,677,1167,994
PBANKA_MIT03100,1,1,1,0,0,2
PBANKA_1304000,9937,13541,12925,1027,2106,2300
PBANKA_0814100,834,1582,1136,36,109,154
PBANKA_0606600,8076,13182,11748,483,1306,1436
PBANKA_0718600,1045,1514,1073,46,138,70
PBANKA_1222600,9296,12731,10493,643,1677,2065
PBANKA_1018300,11051,14423,13971,1346,2704,3033
PBANKA_0931200,33737,46812,42905,1875,5574,6398
PBANKA_1432200,73593,100702,80685,7254,16438,17901
PBANKA_1406800,6735,15836,11587,582,1695,1511
PBANKA_1346500,2776,4655,4000,262,1005,947
PBANKA_0924600,811,1330,931,83,280,181
PBANKA_0205100,2554,4046,3555,273,783,656
PBANKA_1314300,14203,17853,15023,915,2108,2571
PBANKA_0721400,1323,2251,1612,92,272,282
PBANKA_1340900,1682,2343,2437,108,183,291
PBANKA_1334000,8368,12210,10429,340,1114,900
PBANKA_1309100,564,1281,845,22,95,73
PBANKA_0916500,279,482,501,8,46,44
PBANKA_0711200,11770,14398,8118,507,936,1173
PBANKA_0310700,28796,33047,32176,3253,5619,6363
PBANKA_1108800,4292,6014,5793,439,902,1023
PBANKA_0720300,3463,5660,4948,248,668,725
PBANKA_0811500,1592,2184,1921,95,258,277
PBANKA_1226800,22379,29953,23098,1812,4268,3818
PBANKA_0930700,2832,4578,3752,235,897,793
PBANKA_1103100,10837,17779,14262,868,3250,2954
PBANKA_0316200,126496,207969,165350,13518,26648,20398
PBANKA_1457900,2615,3881,3223,270,551,553
PBANKA_1107300,3961,6102,4756,274,790,766
PBANKA_0909300,1345,1914,1943,144,384,335
PBANKA_0618800,3685,5689,5235,114,487,498
PBANKA_0721100,21473,25049,23560,1063,2419,2444
PBANKA_1453500,5480,6881,6021,540,1029,1492
PBANKA_1039200,1431,1984,1813,77,269,202
PBANKA_0407500,1789,3302,3158,331,586,623
PBANKA_1351300,61673,71230,59496,4516,10161,10380
PBANKA_1144600,2055,3499,2667,308,1143,1148
PBANKA_1322700,4237,8792,7295,376,930,910
PBANKA_1144700,5631,9091,6965,326,970,753
PBANKA_1457600,4590,9252,6452,180,577,346
PBANKA_0603000,10664,13371,11926,668,1508,1589
PBANKA_1223600,6894,9626,7989,558,1472,1418
PBANKA_0830600,1098,1641,1401,84,386,333
PBANKA_0501100,5677,11078,8989,556,1793,1723
PBANKA_MIT02400,31,43,33,12,18,21
PBANKA_1433700,10483,13685,11938,797,1990,2057
PBANKA_1145900,9488,22241,16275,961,3309,2381
PBANKA_1234600,16886,25749,21484,1180,2794,2624
PBANKA_0709600,9716,11102,8477,422,836,1004
PBANKA_1019000,3144,4099,3848,287,680,770
PBANKA_1404000,1180,2285,1781,129,307,277
PBANKA_0826100,671,1404,1103,37,153,118
PBANKA_0825000,1990,3253,2387,88,212,195
PBANKA_0825800,6278,8086,7420,895,1416,1519
PBANKA_1314100,10894,14800,12913,809,1804,1995
PBANKA_0911900,1699,2860,2579,95,261,366
PBANKA_1405500,2154,4155,3177,166,521,528
PBANKA_1349800,769,1648,1476,126,378,393
PBANKA_1418700,849,2214,1532,35,154,101
PBANKA_0501800,6125,6844,6878,445,1820,3298
PBANKA_1462400,596,1249,871,49,246,164
PBANKA_0709700,11274,11734,12698,1043,1913,2577
PBANKA_1117200,2016,2555,2214,123,319,247
PBANKA_0833100,5169,9526,8215,728,1794,1502
PBANKA_0807400,816,1836,1391,79,294,192
PBANKA_1454600,17977,26786,23138,2187,4734,4048
PBANKA_1306500,176,358,349,38,68,87
PBANKA_1222500,34198,40684,38209,3608,6679,8386
PBANKA_0818500,15753,21390,19098,1569,3397,3506
PBANKA_0212300,3503,4374,3952,187,461,562
PBANKA_0104400,13050,18569,16748,1473,3041,2981
PBANKA_0808420,1865,2564,2092,90,221,272
PBANKA_1424700,620,1166,938,57,138,173
PBANKA_1002700,2371,3688,4424,251,475,751
PBANKA_0909800,2147,4314,3158,205,478,430
PBANKA_0205300,2471,3618,2601,178,434,427
PBANKA_0927000,6762,10646,9231,439,1363,1311
PBANKA_0512800,24302,31899,27389,3082,8103,9084
PBANKA_0508000,83,121,102,4,14,18
PBANKA_0602900,5493,8493,8192,803,1605,1797
PBANKA_0823500,7152,10408,10027,704,1473,1948
PBANKA_1240800,351,536,374,21,81,44
PBANKA_0702300,3638,5656,4669,578,1971,1960
PBANKA_0101700,11179,17139,14946,816,1719,1813
PBANKA_0937400,7453,11344,10031,625,1550,1424
PBANKA_0903100,6167,8135,8280,997,1713,1745
PBANKA_1106000,26897,24783,23451,3233,5956,7665
PBANKA_1104400,36753,41279,38330,1645,4069,4456
PBANKA_1003800,13019,20938,17212,2346,5108,4737
PBANKA_0300100,203,359,317,69,366,229
PBANKA_0825900,109623,125047,119185,12179,24463,29373
PBANKA_1137700,7263,9520,7919,787,1827,2155
PBANKA_1226400,8326,13320,10504,397,1172,998
PBANKA_1242300,29317,41738,33115,3552,6596,7726
PBANKA_1445500,5715,9173,7797,412,1046,828
PBANKA_0702900,18844,27499,24277,996,2886,2599
PBANKA_1334700,48587,53487,54098,6655,12249,15494
PBANKA_0931400,1119,2918,2035,102,367,205
PBANKA_0503900,2911,3650,3152,75,232,269
PBANKA_1138600,89146,101097,88077,8106,12988,14893
PBANKA_1312600,672,818,744,51,195,247
PBANKA_0820500,123,166,94,16,26,27
PBANKA_0926800,2763,3472,2768,128,367,255
PBANKA_1421600,3103,4634,4068,352,797,827
PBANKA_0930600,3049,4363,3747,320,900,796
PBANKA_0605700,12009,17685,14748,742,1650,1683
PBANKA_0612600,1847,2097,2038,137,304,358
PBANKA_0103300,58548,89671,76371,2836,7457,7772
PBANKA_1225100,10681,14034,12058,654,1696,1701
PBANKA_0521600,2372,5096,3649,161,451,453
PBANKA_1413400,3827,6694,5341,404,1213,1167
PBANKA_0823800,313,610,482,28,98,69
PBANKA_1450800,6807,8878,7128,478,1110,1200
PBANKA_1117700,14959,22369,18576,1916,8087,7866
PBANKA_1140300,22718,30689,30589,2218,3576,4409
PBANKA_0708400,1182,1995,1527,152,485,415
PBANKA_0412200,3627,5555,4909,252,839,752
PBANKA_0500100,0,0,0,0,0,0
PBANKA_0305600,664,1314,1080,27,179,124
PBANKA_1034100,27964,41382,35245,2685,6233,6197
PBANKA_0928800,3865,6296,4881,430,914,738
PBANKA_0308700,771,1189,1107,72,169,157
PBANKA_1406700,19339,37570,31146,2099,4835,4448
PBANKA_1439000,1502,1867,1916,149,623,647
PBANKA_1104600,5264,7119,6493,399,793,781
PBANKA_1458100,2916,4909,4168,239,590,612
PBANKA_1123100,5518,6757,5706,379,827,968
PBANKA_1244000,969,2366,1789,107,565,440
PBANKA_1135800,11051,12469,9445,978,1915,2007
PBANKA_0706300,3204,5636,4010,211,450,405
PBANKA_1300021,22,44,50,4,5,7
PBANKA_0000401,0,0,1,0,0,0
PBANKA_1146700,483,812,955,106,231,225
PBANKA_0606200,112209,129212,122602,17011,25771,30758
PBANKA_0607200,489,805,655,49,158,155
PBANKA_1331600,2320,2742,2181,213,701,674
PBANKA_0920400,22266,28825,25511,1258,2942,3169
PBANKA_0524821,38,30,38,1,5,5
PBANKA_0823700,12592,15175,14991,746,1534,1875
PBANKA_0109300,1984,2946,2513,114,446,369
PBANKA_1425600,3223,5686,4212,187,557,354
PBANKA_1029200,829,1444,1367,72,134,178
PBANKA_0812900,46273,55999,52948,6455,11463,11944
PBANKA_1444900,5661,7855,6081,430,985,856
PBANKA_1426300,9150,16547,12882,648,1766,1578
PBANKA_1025000,5642,7874,7198,613,1351,1348
PBANKA_0612400,759704,862588,777997,56019,103584,134332
PBANKA_0504600,1218,2734,1888,73,277,177
PBANKA_0513100,1732,2266,2282,170,290,448
PBANKA_1349000,13685,23300,23504,1327,18640,13718
PBANKA_1463500,3216,4746,3728,219,495,552
PBANKA_1402100,405,643,560,28,106,107
PBANKA_1300600,3860,5866,4910,187,527,586
PBANKA_1027100,7578,9923,8563,355,1018,840
PBANKA_0937900,8979,10843,9843,463,1159,1405
PBANKA_0616900,6875,9254,7157,385,902,807
PBANKA_1202500,9456,13643,13088,735,1739,1912
PBANKA_1118800,752,1428,1150,38,122,123
PBANKA_1040151,196,202,210,19,50,72
PBANKA_0201700,264,262,286,22,42,93
PBANKA_1040200,157,308,356,35,73,99
PBANKA_0617700,1811,2842,2482,133,455,496
PBANKA_0302300,1295,2086,1833,66,283,350
PBANKA_1420200,1506,3289,2158,106,309,245
PBANKA_MIT02200,41,59,47,15,77,62
PBANKA_0409700,35743,38296,36097,6731,15811,19735
PBANKA_1317400,18750,35160,24526,2534,6097,4784
PBANKA_0707200,6715,8708,7820,706,1499,1703
PBANKA_1227200,6565,8726,7678,409,854,805
PBANKA_1111900,1244,2246,1704,59,231,158
PBANKA_1448400,7699,10771,8866,750,1593,1577
PBANKA_1412200,12365,16648,15250,810,2034,1818
PBANKA_0833600,4381,7007,5549,241,813,629
PBANKA_1033900,17332,34308,22723,1567,3762,2820
PBANKA_0822300,1885,2770,2311,98,309,369
PBANKA_1125200,5819,7464,6334,412,1099,943
PBANKA_0905100,1226,1772,1850,166,354,530
PBANKA_1413600,1797,3193,3105,278,713,732
PBANKA_1246921,0,2,0,0,0,0
PBANKA_1232100,12613,21136,18357,1804,3829,3423
PBANKA_1356300,24541,34045,27640,2158,5149,4693
PBANKA_0835000,1102,1450,1269,56,172,179
PBANKA_1026800,9034,10789,10383,956,2104,2922
PBANKA_0309400,28919,41949,34874,1754,4703,3751
PBANKA_1429800,964,1625,1297,119,296,229
PBANKA_1126500,10458,22205,16425,812,2873,2102
PBANKA_0934400,2739,3858,3622,248,552,620
PBANKA_1214600,3101,4763,4061,250,608,724
PBANKA_1464100,230,337,263,11,52,59
PBANKA_0933700,12172,18750,15610,1127,2476,2461
PBANKA_1205100,71591,76714,76869,9065,19075,24208
PBANKA_1126600,3133,5611,4551,225,621,608
PBANKA_1203800,5314,9993,23539,298,545,842
PBANKA_1400600,96331,174334,144958,6727,37665,23107
PBANKA_0836900,312,451,629,147,250,229
PBANKA_0913000,24000,32639,29856,3146,5849,5664
PBANKA_0703800,4971,6486,5256,206,552,475
PBANKA_0513000,2897,4077,4646,507,1147,1353
PBANKA_1004500,22197,25178,23527,1829,3186,4053
PBANKA_1415600,35463,54512,46612,5367,11543,10553
PBANKA_1110700,26351,36225,26988,2191,5851,5521
PBANKA_0805750,0,0,0,0,0,0
PBANKA_1353100,62805,71591,62473,3134,6265,6454
PBANKA_1451700,5954,7319,6347,353,874,923
PBANKA_1364200,18565,33140,27284,2430,7529,6851
PBANKA_0412000,436,791,634,23,108,67
PBANKA_1012400,8275,9989,9700,717,1343,1474
PBANKA_0934100,1230,2267,2002,132,399,387
PBANKA_1464200,3070,3880,3476,475,1537,1373
PBANKA_1218200,20034,32545,26216,2902,5008,4695
PBANKA_1118000,8223,9434,8511,554,1240,1483
PBANKA_0500971,10,39,38,1,3,7
PBANKA_1361500,11414,17669,14268,1195,2530,2332
PBANKA_1316100,49807,61718,58150,3930,7904,9789
PBANKA_1000081,1,1,0,0,0,0
PBANKA_0833500,1204,1827,1755,49,226,204
PBANKA_0823300,13441,19202,15930,1151,2828,2584
PBANKA_1347500,2751,4344,3721,177,500,468
PBANKA_0815900,46550,53356,38291,1853,4473,4188
PBANKA_1200800,22424,31041,25909,2427,4536,4948
PBANKA_1363100,3056,3971,3022,59,160,144
PBANKA_0312200,3381,4730,4066,233,656,635
PBANKA_1145500,6113,10892,8157,288,805,703
PBANKA_1002400,10673,9694,10581,679,1942,2898
PBANKA_1202100,14883,21724,16889,1375,3004,2769
PBANKA_0415600,9702,12229,10781,515,1101,1134
PBANKA_0804600,2376,4648,3853,191,459,397
PBANKA_1017300,72832,83127,79041,4282,9548,11082
PBANKA_0915000,12639,11952,12997,944,2475,4000
PBANKA_0416800,10169,17508,12829,562,1703,1335
PBANKA_1110350,27,46,31,3,8,61
PBANKA_1425350,1154,2315,1618,69,316,191
PBANKA_0702500,8011,11911,10253,679,1484,1390
PBANKA_1339500,10692,12745,12299,786,1650,1757
PBANKA_0938000,218180,244212,233348,18138,33768,40301
PBANKA_1040561,116,121,89,2,15,12
PBANKA_0600081,78,197,226,19,50,39
PBANKA_0522900,16161,24409,20713,1114,2764,2353
PBANKA_1406000,502,639,585,32,101,148
PBANKA_1347700,9576,14943,12779,1066,2238,2227
PBANKA_1318000,688,915,770,66,142,123
PBANKA_1329100,53692,61200,60056,9391,16150,19579
PBANKA_0100600,5818,8516,7799,349,1973,1663
PBANKA_1233700,3994,3862,3932,809,1329,1596
PBANKA_1407600,15768,26491,22499,1970,4848,4177
PBANKA_0510300,27567,32805,24569,427,1437,1757
PBANKA_1300800,7049,12287,12300,843,2745,2915
PBANKA_1129300,1029,1665,1640,62,151,196
PBANKA_1034400,30488,70054,52698,4243,15337,10794
PBANKA_1434300,3314,4660,3951,320,607,554
