Geneid,AP2CKO_1.bam,AP2CKO_2.bam,AP2CKO_3.bam,271KO_RNA_1.bam,271KO_RNA_2.bam,271KO_RNA_3.bam
PBANKA_1300100,361,432,723,198,359,407
PBANKA_1106300,2514,3614,3050,181,468,454
PBANKA_1143200,567,782,715,32,111,145
PBANKA_1217500,3195,5115,3818,192,297,251
PBANKA_1459800,5830,8746,6468,388,962,980
PBANKA_1429000,839,1636,1398,71,207,211
PBANKA_0824400,103890,123430,91232,7436,14361,17020
PBANKA_1345500,20533,24085,20811,1511,2981,3065
PBANKA_1023800,15722,21859,20375,811,2171,2339
PBANKA_0413700,534,867,795,112,212,222
PBANKA_0716700,16084,19668,17139,786,2062,2387
PBANKA_0707400,13292,18950,16146,1782,4708,4112
PBANKA_0927700,50092,75647,69863,4418,8765,9295
PBANKA_0938100,488,815,825,27,65,102
PBANKA_1400400,184,288,287,389,1224,1897
PBANKA_0308000,2457,3877,3074,138,486,458
PBANKA_1345400,6250,8794,7643,486,1565,1545
PBANKA_1349500,1499,2295,1900,111,301,242
PBANKA_1014500,3962,3805,3879,223,753,914
PBANKA_1101400,20823,19774,20418,1163,5517,6072
PBANKA_0405700,1891,2380,1807,116,338,473
PBANKA_1454500,2624,4350,3711,257,715,670
PBANKA_0517100,759,1474,1190,143,337,341
PBANKA_0211000,2881,4192,3621,253,437,494
PBANKA_0902200,1746,3101,2427,123,527,413
PBANKA_0416300,14777,21149,17989,1745,3501,3440
PBANKA_1451600,15891,23004,20063,1621,3368,3347
PBANKA_0825400,8890,10212,8994,439,1139,1189
PBANKA_0100300,9,17,15,1,7,5
PBANKA_1349900,4523,8008,6129,204,866,744
PBANKA_1442700,460,832,653,39,130,106
PBANKA_0303700,32222,46493,42493,3526,7362,6913
PBANKA_1457500,9585,13149,10801,892,1712,1644
PBANKA_1453900,14931,15261,14640,1228,2564,3601
PBANKA_1441600,6152,8348,8108,754,1769,1723
PBANKA_1441500,3055,4729,4276,180,553,504
PBANKA_1102500,2537,3578,2565,68,183,137
PBANKA_1033700,11359,16467,14706,982,1978,2382
PBANKA_0906400,7646,14457,11416,1030,5361,5075
PBANKA_1122800,7037,9343,9224,884,1877,2172
PBANKA_0804341,7,11,5,0,0,4
PBANKA_1032800,2715,3975,3050,216,545,496
PBANKA_1103000,12611,20340,17420,1203,2359,2233
PBANKA_0921300,4597,8021,6788,659,1744,1719
PBANKA_0213800,6849,7661,6897,483,1004,1170
PBANKA_0827600,23252,29078,27031,2294,4012,3979
PBANKA_0214800,8309,13443,12186,664,1912,1977
PBANKA_1124900,5012,8007,6524,611,1484,1490
PBANKA_1023000,7115,10344,7982,275,965,799
PBANKA_0700541,138,390,420,50,130,98
PBANKA_1347400,3868,5753,4410,283,877,660
PBANKA_1342200,645,882,831,39,131,203
PBANKA_1228000,2710,4426,4076,188,680,874
PBANKA_1434700,24541,38466,30116,1448,4255,3734
PBANKA_1100821,63,82,97,3,13,22
PBANKA_1345850,0,0,0,0,0,0
PBANKA_1227100,10099,12612,10751,324,913,827
PBANKA_1225000,14992,20784,17722,591,2618,1724
PBANKA_0514900,1051309,1225168,1139049,123497,231059,288511
PBANKA_0411600,5530,8163,6244,224,646,563
PBANKA_1134500,4376,6280,5318,146,394,376
PBANKA_1140700,350,603,653,63,77,103
PBANKA_0925700,7008,11444,10244,904,2207,2178
PBANKA_1228200,16098,21453,17836,1597,3286,3550
PBANKA_1361600,38397,48533,44524,3136,6621,6663
PBANKA_0216761,5268,4675,4777,166,571,833
PBANKA_1228700,4053,5860,5788,233,588,804
PBANKA_0809200,770,1370,1094,42,207,155
PBANKA_0833800,6633,8842,8004,508,1290,1429
PBANKA_1463300,108334,119186,98176,5293,9036,10309
PBANKA_0503000,3377,3911,3848,248,493,717
PBANKA_1329800,20650,23105,22516,2063,3893,5185
PBANKA_1410500,280,433,398,28,76,88
PBANKA_0209000,1678,2234,2183,59,297,228
PBANKA_0101000,1241,2905,1828,69,260,160
PBANKA_1238300,4798,6094,5574,641,1770,1962
PBANKA_1145741,37,28,48,9,51,60
PBANKA_0830500,522,1179,721,8,125,46
PBANKA_API00448,0,0,0,0,0,2
PBANKA_0511300,2327,3101,2589,229,551,520
PBANKA_0611600,322327,377404,335983,42098,75803,88216
PBANKA_0720500,708,1190,982,67,350,321
PBANKA_0207000,23636,34788,29409,2831,6816,6557
PBANKA_0837141,173,337,272,21,63,56
PBANKA_1210500,2452,3019,2839,136,309,344
PBANKA_0605000,656,801,687,19,76,92
PBANKA_0810900,19784,24800,21255,1803,3830,3794
PBANKA_1128200,6021,9988,9628,510,1008,1161
PBANKA_1444700,12806,17041,14282,692,1719,1695
PBANKA_1428300,10531,14985,13381,1044,2396,2364
PBANKA_1207300,1320,2630,2154,86,286,233
PBANKA_0317041,57,107,106,5,27,18
PBANKA_1119100,3352,4486,3914,234,474,566
PBANKA_0404700,9540,13688,11390,1074,3392,3320
PBANKA_1321600,32924,44422,40765,2191,5106,5388
PBANKA_1238500,9354,11224,10365,354,1000,1415
PBANKA_0110000,4433,9699,6906,484,3154,2582
PBANKA_1448100,1244,2282,1654,60,238,186
PBANKA_0524500,971,977,955,43,141,190
PBANKA_0111500,516,622,509,28,118,86
PBANKA_0717900,6285,10249,7260,555,1954,1416
PBANKA_1007500,6266,9321,9079,974,2370,2429
PBANKA_1124200,3373,5212,4310,133,459,351
PBANKA_1407300,4024,6165,5513,413,1059,962
PBANKA_1340800,1519,2075,1773,162,507,569
PBANKA_0818800,833,1248,957,44,171,141
PBANKA_1117100,21272,29121,28235,4162,13300,13613
PBANKA_1006800,2927,4403,4355,221,591,621
PBANKA_0926600,8249,10825,9870,598,1340,1413
PBANKA_1420300,5150,7531,6154,267,954,1169
PBANKA_1119600,2777,2432,2716,205,386,708
PBANKA_1318200,9083,12054,10208,1147,2273,2511
PBANKA_0931000,2739,4068,3111,113,464,431
PBANKA_1326100,12908,20381,19453,1671,3774,3597
PBANKA_1309200,8202,10919,11463,489,1063,1393
PBANKA_1031900,9268,18645,14810,1295,3260,2679
PBANKA_0609700,4326,6656,5530,223,533,514
PBANKA_API00370,0,3,0,0,0,1
PBANKA_0407900,2735,3795,3338,236,681,757
PBANKA_0207400,1871,2526,2232,145,356,303
PBANKA_0821700,5482,10256,8810,874,1802,1698
PBANKA_0825100,971,1789,1313,118,290,313
PBANKA_0412900,14203,16528,17910,3044,4586,5543
PBANKA_0811600,1950,3992,2890,164,498,361
PBANKA_0802400,2154,2962,2584,85,216,178
PBANKA_1210600,6486,6616,6277,312,882,882
PBANKA_1414500,135525,159444,156520,20074,34220,41412
PBANKA_0824800,5649,9896,8505,774,1939,1806
PBANKA_1411100,5508,8856,6594,492,1303,1026
PBANKA_0512100,1935,2853,2549,105,367,435
PBANKA_1038700,12317,16358,16276,1661,3046,3112
PBANKA_0605800,42446,49765,46273,4848,18992,25908
PBANKA_0901500,1475,2377,1774,98,293,195
PBANKA_1013500,5862,9194,8677,694,1432,1637
PBANKA_0941200,8127,10799,11302,1295,2160,3025
PBANKA_0936300,2311,3162,2462,68,181,145
PBANKA_1040601,0,0,0,0,0,0
PBANKA_0313600,10300,12570,10557,668,1428,1344
PBANKA_1002200,44,64,84,8,17,17
PBANKA_1017800,12723,17507,15033,813,1980,1760
PBANKA_API00071,0,0,0,0,0,0
PBANKA_1447700,2624,4600,3680,235,588,614
PBANKA_1348700,12111,14900,12873,417,1263,1306
PBANKA_0311500,3981,3563,3921,397,679,1173
PBANKA_0505000,3357,4721,4308,484,842,801
PBANKA_1466221,0,0,0,0,0,0
PBANKA_1016800,714,1772,1412,121,420,287
PBANKA_MIT00900,0,0,0,0,0,0
PBANKA_0504500,11610,12644,11380,1078,2002,2219
PBANKA_0606900,1883,3842,2554,93,376,199
PBANKA_1217200,6034,7600,6499,371,765,899
PBANKA_0932500,218593,256422,236439,27780,42205,51494
PBANKA_0713900,2439,3991,3129,235,695,585
PBANKA_API00380,0,1,1,0,0,6
PBANKA_1230300,5618,7815,7049,755,1320,1398
PBANKA_0519400,26263,42816,38593,1765,6728,4383
PBANKA_1101200,65042,76870,63577,5015,9187,10183
PBANKA_1348800,14576,19055,16117,813,2086,1607
PBANKA_0815200,6666,10649,8386,458,1755,1455
PBANKA_0507200,936,1324,1177,69,303,269
PBANKA_0805300,1579,2016,1901,138,433,453
PBANKA_1200061,31,45,54,3,5,18
PBANKA_0829400,1105,1664,1455,91,435,414
PBANKA_0931800,4614,6201,5274,446,1076,1241
PBANKA_1361300,13392,16031,15426,1083,2367,2710
PBANKA_0317101,38,57,79,36,176,162
PBANKA_1220300,4251,6379,5412,313,858,932
PBANKA_1039400,8122,16070,10262,656,3420,2952
PBANKA_1232400,2032,2270,1875,64,285,264
PBANKA_0516200,6178,9987,8027,551,1675,1366
PBANKA_0617100,19733,37078,27675,1578,4513,3821
PBANKA_0415200,2782,3982,3431,269,797,626
PBANKA_0518700,15824,25555,21713,1751,3824,3719
PBANKA_0605400,1280,2671,1691,44,172,142
PBANKA_1114051,14,8,11,1,1,3
PBANKA_0310500,13361,16801,15356,1072,2231,2304
PBANKA_0506200,17683,22645,25108,1117,2789,3157
PBANKA_1361100,4558,8556,6878,345,943,831
PBANKA_1200500,30,41,42,0,3,5
PBANKA_0617300,1738,3085,2368,103,329,198
PBANKA_1430500,704,1157,942,42,164,147
PBANKA_1001600,7131,10357,8633,480,1185,1104
PBANKA_0911000,10525,14278,13797,996,1975,2285
PBANKA_1429200,67048,80510,73714,7829,13358,16303
PBANKA_0806500,3406,5051,4061,366,898,966
PBANKA_0936200,567,933,720,20,76,41
PBANKA_1124100,1736,2159,1895,113,531,709
PBANKA_0519700,3813,5843,4666,514,1491,1517
PBANKA_0802900,2320,3414,2746,102,255,274
PBANKA_1033300,3986,5418,4681,363,874,864
PBANKA_0309200,9591,13153,11075,548,1284,1141
PBANKA_1030400,19395,27146,25829,2396,4468,4197
PBANKA_1228100,101293,114075,107097,5457,11764,14614
PBANKA_1351400,9136,10712,9286,585,1012,1331
PBANKA_0833700,1497,2465,2403,227,607,638
PBANKA_0412100,8044,12262,10739,1172,2967,2978
PBANKA_1220700,1995,2571,2209,87,220,165
PBANKA_0308400,409,896,645,18,178,103
PBANKA_1100051,0,0,0,0,0,0
PBANKA_1021100,5296,5666,5595,164,451,536
PBANKA_1348300,5046,7464,7661,507,1108,1163
PBANKA_1038100,673,1569,1025,43,163,131
PBANKA_1457100,2759,4484,3688,293,566,576
PBANKA_0110500,36654,44266,37078,2217,4167,4247
PBANKA_0500950,0,4,1,1,0,0
PBANKA_0606400,1244,1741,1494,74,187,233
PBANKA_1241700,3364,4655,4107,315,1122,1412
PBANKA_0604000,1274,2103,1525,34,124,101
PBANKA_0518200,3242,5438,4139,477,1258,1027
PBANKA_0200500,443,891,794,11,131,54
PBANKA_1132600,4809,6505,6077,956,3015,2745
PBANKA_0923100,608,959,799,85,213,212
PBANKA_1437600,188293,217045,213558,32869,61802,72095
PBANKA_1333900,3937,5983,5014,251,614,647
PBANKA_0503600,7843,13095,11218,775,2717,2857
PBANKA_1212600,5798,7650,7591,885,1675,1736
PBANKA_0103900,6770,16555,15073,1517,4548,3609
PBANKA_1224200,21739,32476,31023,2010,4759,5048
PBANKA_1020700,5037,7778,5953,335,634,667
PBANKA_1429100,4915,6746,6592,1333,2757,3981
PBANKA_1035500,3661,6031,4644,369,1788,1639
PBANKA_0600031,558,838,1124,87,173,244
PBANKA_1356800,65176,77021,75022,4188,10719,11242
PBANKA_1207700,3611,6986,5226,433,1897,1551
PBANKA_0314500,8933,16146,12766,1619,7445,6677
PBANKA_1458600,1578,2076,1773,127,258,292
PBANKA_1132900,4678,6394,5631,510,1415,1181
PBANKA_1331900,13346,26165,20953,1605,4040,3385
PBANKA_1229800,4444,6516,6072,759,1271,1522
PBANKA_1441800,2737,3734,3205,74,319,268
PBANKA_0829800,5392,7038,6117,249,729,689
PBANKA_1321800,270,450,363,13,71,58
PBANKA_1462200,8788,13535,11113,656,1457,1533
PBANKA_1229100,3018,4151,3616,107,354,350
PBANKA_1125700,2902,4981,3872,223,685,478
PBANKA_1213500,1524,2000,1543,65,170,185
PBANKA_1010500,13273,22748,21310,1286,3102,3366
PBANKA_0501600,3636,3806,4052,204,461,731
PBANKA_1024300,12066,17469,15092,775,1616,1650
PBANKA_1458000,5055,8610,7051,350,883,785
PBANKA_1018400,5127,8012,5715,237,764,797
PBANKA_1311700,9579,11641,11520,782,1787,1996
PBANKA_0505200,5382,8132,6884,681,2663,2708
PBANKA_0810600,14368,22453,17401,1273,3925,3176
PBANKA_1446700,3179,4910,4070,182,454,477
PBANKA_0204600,14702,17723,16440,1518,4920,7177
PBANKA_1329000,7877,10966,10304,1084,2176,2276
PBANKA_1141400,12522,15829,14439,1402,2662,3059
PBANKA_1109100,698,1307,1142,42,280,123
PBANKA_1320700,22474,31036,26083,2323,5991,5724
PBANKA_0811800,7671,10452,8995,848,1641,1817
PBANKA_1310500,31102,35511,29954,1833,4949,6411
PBANKA_0609800,3967,4686,3845,249,581,651
PBANKA_0904700,6208,9690,6906,647,2214,2045
PBANKA_1138700,18483,28338,22515,1208,2929,2795
PBANKA_1404400,5756,7900,6444,542,1187,1082
PBANKA_1327700,2843,3951,4037,277,732,724
PBANKA_1332400,4796,7488,6572,448,1388,1164
PBANKA_0504300,6151,9518,7807,747,2427,2538
PBANKA_1319000,85553,108227,82943,9873,31464,36372
PBANKA_0813900,5446,8916,7120,309,963,883
PBANKA_0934300,4415,7582,5725,256,1172,904
PBANKA_1302100,494,1096,882,37,134,99
PBANKA_0700021,0,0,0,0,0,0
PBANKA_0615000,2932,4918,4199,257,680,595
PBANKA_0928200,15152,22404,18262,798,1704,1667
PBANKA_0521800,654,1215,675,33,127,58
PBANKA_0622400,393086,445139,405972,40353,66972,75627
PBANKA_1101900,902,1766,1388,44,133,107
PBANKA_1142700,4156,6408,5792,279,968,1048
PBANKA_0817900,3291,4534,4694,161,638,572
PBANKA_1246200,0,0,0,0,0,0
PBANKA_1363900,3021,4483,3526,475,2225,2164
PBANKA_0501400,4496,3818,3887,57,465,588
PBANKA_0938700,1355,2286,1972,170,340,421
PBANKA_1237000,3724,5814,5528,562,1226,1386
PBANKA_1346700,10179,18251,14781,1614,6711,5682
PBANKA_0210800,1814,3268,2513,110,435,327
PBANKA_1404300,914,1062,743,60,79,77
PBANKA_0401100,29619,41201,35321,2552,5810,5934
PBANKA_1008400,1539,3034,2196,101,342,252
PBANKA_0907600,1467,2135,1812,37,280,322
PBANKA_1459100,4172,5076,4700,275,710,809
PBANKA_1460600,3366,4133,3578,378,851,905
PBANKA_0214400,30894,43359,34106,2151,4806,5137
PBANKA_1144400,3123,4962,3901,150,448,393
PBANKA_1002600,25614,28347,26689,3074,5514,7447
PBANKA_1133600,2071,2769,2410,212,599,643
PBANKA_0942800,1042,1883,1806,103,275,314
PBANKA_0934600,14018,16215,16367,1767,3138,3563
PBANKA_1115400,1412,1749,1539,121,381,506
PBANKA_0700761,819,1106,1538,2073,8004,13041
PBANKA_0108700,37301,47404,31942,1142,2594,2140
PBANKA_1353200,1478,1755,1634,67,315,311
PBANKA_1015300,6751,8478,7252,382,979,999
PBANKA_1103600,3308,5651,4799,251,833,1007
PBANKA_1113400,80285,90647,76355,7381,15180,19489
PBANKA_1322200,16394,20466,18604,1173,2378,2590
PBANKA_1317100,6537,9179,8226,662,1570,1559
PBANKA_1146100,63,81,63,8,29,29
PBANKA_1104300,1644,3188,2545,153,370,284
PBANKA_0306100,18795,27258,27249,2511,5643,6167
PBANKA_0905600,35044,44650,36963,3822,6944,8200
PBANKA_1109200,1158,2226,1701,136,355,238
PBANKA_1434500,1983,2937,2380,94,324,300
PBANKA_0828200,9365,13440,10743,833,1718,1718
PBANKA_0823600,7816,10409,8722,561,935,859
PBANKA_1403200,1016,1727,1476,70,270,216
PBANKA_0515400,14993,16494,15722,1043,1910,2150
PBANKA_1304600,2111,3724,2832,163,395,277
PBANKA_1031700,625,727,770,115,282,314
PBANKA_0204000,256,729,536,31,77,55
PBANKA_1013800,8868,10961,9126,906,2051,2007
PBANKA_1117600,438,805,815,85,155,159
PBANKA_0917800,3487,4653,4826,321,719,1147
PBANKA_1244200,26853,34642,32139,2526,4870,4907
PBANKA_0914300,4501,7609,5852,301,1017,794
PBANKA_1204400,11611,22907,17633,1410,4064,3458
PBANKA_1037900,5980,9211,8562,526,1481,1836
PBANKA_0622961,200,439,332,94,305,340
PBANKA_1206600,14001,25470,17771,1764,5864,4061
PBANKA_0835900,1412,2410,1733,90,309,247
PBANKA_0812300,3934,5031,4111,185,441,417
PBANKA_1143900,587,844,789,74,204,206
PBANKA_1229900,43160,53608,47359,3478,6065,6691
PBANKA_0615200,46568,69011,56400,4703,11077,10177
PBANKA_0701800,3074,4802,4475,225,730,621
PBANKA_0523400,2396,3387,2664,92,231,177
PBANKA_0823100,99436,114716,107496,14762,24733,28770
PBANKA_1137400,30560,34914,31654,2987,10049,15761
PBANKA_0310800,5719,8518,6916,343,861,799
PBANKA_1314800,39640,92178,66208,5427,13451,10894
PBANKA_0100900,14856,22438,20459,1274,2726,2770
PBANKA_1458200,3310,4863,4838,256,706,759
PBANKA_0110100,33837,40552,37432,1911,4661,5576
PBANKA_0309100,6173,10032,8673,767,1946,1649
PBANKA_1462000,2035,3158,2663,102,321,430
PBANKA_0836800,6729,14925,10259,48,156,122
PBANKA_0936700,8653,10775,10037,439,940,1134
PBANKA_1419300,139556,161655,139473,10364,20549,24267
PBANKA_1009700,4391,6016,5116,440,912,971
PBANKA_0801900,3273,6045,5683,335,594,823
PBANKA_1408100,888,1960,1496,48,197,160
PBANKA_1223900,603,883,448,26,55,38
PBANKA_1419600,2558,4067,3259,83,381,312
PBANKA_1131700,2768,3879,3291,193,483,507
PBANKA_1452100,25160,35157,29403,1479,3660,3733
PBANKA_1365600,2836,4757,4085,89,448,308
PBANKA_0826300,2046,3005,2251,220,494,473
PBANKA_API00035,0,0,0,0,0,0
PBANKA_1343300,8980,18198,12730,1231,4013,2670
PBANKA_1246700,166,265,298,53,98,119
PBANKA_1464700,940,2007,1512,22,157,124
PBANKA_0508700,2421,3131,2944,181,391,458
PBANKA_1105700,3949,5958,5119,278,844,1242
PBANKA_0710700,2432,3234,2341,119,279,276
PBANKA_1000031,0,3,2,0,1,0
PBANKA_0821200,45397,55457,47874,2802,6055,7581
PBANKA_0100700,20995,39431,36431,2191,8106,7730
PBANKA_1106200,3455,3688,3344,238,571,629
PBANKA_0519600,2131,2835,2488,225,449,491
PBANKA_1141300,1467,2261,1870,77,252,259
PBANKA_1128900,9007,10454,9342,892,2035,2448
PBANKA_0523600,5067,5930,5148,353,910,1131
PBANKA_1332700,24157,28059,29077,1180,4417,5944
PBANKA_1221200,8822,16697,12644,729,2000,2000
PBANKA_0834900,6978,10085,8345,541,1328,1407
PBANKA_0805100,5244,8623,7689,413,1018,938
PBANKA_1358000,4018,5190,4792,483,1598,1880
PBANKA_1324300,1965,1756,1912,91,441,596
PBANKA_0935300,2774,4052,2926,125,394,370
PBANKA_0913100,3549,4367,3748,261,516,638
PBANKA_1438700,1086,1801,1417,123,311,318
PBANKA_1413500,2305,2844,2885,194,510,685
PBANKA_0837021,4,15,9,0,0,1
PBANKA_1343600,1911,2997,2135,113,249,202
PBANKA_0905900,337483,362505,336835,22157,44400,52795
PBANKA_0916700,122108,144137,142303,17302,29859,36484
PBANKA_1020500,3993,4379,3870,308,645,778
PBANKA_0804300,13128,19708,19106,2140,3764,4342
PBANKA_1308000,95364,124166,118474,8804,18868,18157
PBANKA_0805000,4027,6615,5345,350,867,832
PBANKA_0603200,6990,14378,11725,925,4994,3648
PBANKA_MIT01400,9,11,13,12,49,27
PBANKA_1411800,2673,5334,3846,184,446,409
PBANKA_0810400,1286,1783,1607,104,328,324
PBANKA_1001800,8771,12878,10787,769,1575,1594
PBANKA_1421400,3109,4856,4573,382,787,1007
PBANKA_0512200,2355,3313,2821,148,483,460
PBANKA_1401100,1684,3574,2911,128,385,390
PBANKA_0809300,730,1498,1209,37,176,160
PBANKA_0202700,36570,50482,48402,4421,8442,9245
PBANKA_0807000,52634,75764,64968,6254,12062,12772
PBANKA_1408500,4134,5973,4749,246,699,737
PBANKA_1405200,8872,14378,11656,772,1837,1400
PBANKA_1033100,7885,9495,9263,914,3390,3373
PBANKA_0706800,6457,9492,7752,394,1264,1016
PBANKA_0937840,0,0,0,0,0,0
PBANKA_0807500,22287,29564,24339,1403,3478,3437
PBANKA_1145700,4391,6752,5679,342,870,923
PBANKA_1429600,4827,11128,8487,425,1313,1044
PBANKA_1031600,8583,10339,9960,795,1203,1894
PBANKA_1031100,9917,13689,12039,708,1667,1526
PBANKA_1212900,3428,4693,4103,155,478,425
PBANKA_1000041,1,3,1,0,0,0
PBANKA_1115200,110423,137912,118356,9297,19715,21847
PBANKA_0820300,3709,6667,5121,433,1263,1043
PBANKA_1352100,31764,41220,41992,5043,9391,11109
PBANKA_1439100,156002,179449,155989,11342,21866,24205
PBANKA_1400041,68,52,54,7,19,18
PBANKA_1242200,1999,3483,2866,165,499,458
PBANKA_1145751,17,73,22,2,5,1
PBANKA_1344500,18455,29639,27520,1310,3573,3174
PBANKA_0906000,797,1234,984,56,126,184
PBANKA_0413200,2205,3441,2839,58,274,245
PBANKA_1421300,3050,4612,3871,301,802,861
PBANKA_1024331,1,4,2,0,8,1
PBANKA_0944041,552,550,660,118,276,407
PBANKA_1305500,14053,16549,15479,1328,2805,3345
PBANKA_1226000,2192,2853,2712,152,289,301
PBANKA_1413100,1702,2599,2012,113,292,269
PBANKA_1114900,19579,22770,20258,1589,2825,3453
PBANKA_1219200,9846,12094,9702,1193,3268,3250
PBANKA_1140100,17142,23985,22307,1465,3786,3729
PBANKA_1358800,4618,7281,6926,726,1529,1648
PBANKA_0407400,41591,55153,50744,3694,7913,7754
PBANKA_0830800,4094,8777,5937,345,1122,605
PBANKA_0837181,45,57,1,0,0,14
PBANKA_1113500,10599,14159,11956,1115,3117,3168
PBANKA_0503500,304487,334073,242409,10812,25117,26931
PBANKA_1304800,852,1614,1350,30,207,120
PBANKA_0317181,353,673,904,289,481,441
PBANKA_1336200,12171,14012,12371,863,2259,3413
PBANKA_1406400,9928,10483,9353,541,1239,1156
PBANKA_0403100,2291,2684,2020,158,562,606
PBANKA_0505800,15121,19022,17116,1799,3858,4597
PBANKA_0316841,1072,2079,1769,57,219,184
PBANKA_1443200,1625,3777,2240,52,265,155
PBANKA_1359200,11567,19896,16834,1502,2802,2695
PBANKA_0616400,4255,4955,5218,705,1116,1667
PBANKA_1311900,351,515,408,7,19,20
PBANKA_1007200,17041,23532,18738,1827,3886,3340
PBANKA_1431600,4469,6552,5687,342,1125,933
PBANKA_0417800,18532,19812,17284,963,1978,2143
PBANKA_0502700,25704,28763,28669,2776,6111,8146
PBANKA_0933800,2708,4156,3109,223,585,479
PBANKA_0805700,102228,215797,160044,12079,28771,19604
PBANKA_1220800,10262,14808,11986,275,1037,820
PBANKA_1321300,4089,5311,4358,254,755,678
PBANKA_0703200,2401,4965,3846,167,442,421
PBANKA_1447600,2486,3744,3013,124,324,417
PBANKA_1126900,22309,33648,30959,2037,4457,4522
PBANKA_1328500,583,1247,788,15,89,79
PBANKA_0611200,129,308,215,10,54,53
PBANKA_1226450,0,0,0,0,0,0
PBANKA_0105400,12152,19829,16378,1072,2889,2453
PBANKA_0612100,2698,3524,2989,112,273,333
PBANKA_1213400,1259,1709,1459,74,164,167
PBANKA_1321100,9362,14939,13194,940,2171,2096
PBANKA_1227400,23129,31505,26073,1916,4361,4333
PBANKA_0807200,33580,38917,35584,2022,4123,5210
PBANKA_1465861,0,0,0,0,0,0
PBANKA_0822100,5304,7160,6420,385,941,972
PBANKA_0707600,4737,6249,5343,254,704,767
PBANKA_0109400,1274,2181,1562,59,235,200
PBANKA_1014400,12324,19791,14940,913,2364,2241
PBANKA_1311400,9530,9755,10688,2185,8538,10358
PBANKA_0906300,941,1455,1215,73,183,163
PBANKA_1033200,2246,4502,3347,145,582,464
PBANKA_API00442,0,0,0,0,0,0
PBANKA_1456700,321,352,345,51,85,208
PBANKA_1448300,3249,4742,4033,153,518,533
PBANKA_0409500,4194,5488,4809,253,964,1151
PBANKA_1428500,2149,4240,3793,291,978,719
PBANKA_0622700,2245,4250,3137,227,884,687
PBANKA_0617400,7026,13086,9778,279,1281,833
PBANKA_0601100,13257,20075,16409,1679,3395,3376
PBANKA_1242421,0,3,1,0,1,0
PBANKA_1342000,4276,5243,4432,190,495,524
PBANKA_1341700,14210,15347,15006,889,1894,2011
PBANKA_0942100,1253,2365,1992,134,333,354
PBANKA_1038000,2063,3961,2854,90,723,428
PBANKA_0307200,4449,6993,6288,689,1656,1424
PBANKA_0524700,28121,42347,36460,2927,6533,6697
PBANKA_0824100,1494,2217,2250,141,318,394
PBANKA_0714200,8197,15036,11697,657,1758,1503
PBANKA_1446800,9534,22801,14885,692,2293,1167
PBANKA_1146400,148,286,292,9,57,56
PBANKA_0108800,13586,16191,17795,2104,4979,5935
PBANKA_0408900,7116,9580,8193,290,907,954
PBANKA_0718100,2130,3373,3084,146,322,406
PBANKA_0909900,9257,13465,12071,724,2010,1797
PBANKA_1009900,23569,28582,27636,3301,6344,7634
PBANKA_0906100,1149,1172,1237,58,130,143
PBANKA_0103200,10553,13490,10564,362,954,1358
PBANKA_1206000,51133,57704,44891,1987,4416,4412
PBANKA_0418200,6129,12310,8905,392,2210,1412
PBANKA_0721700,18040,26949,21356,1743,3166,2983
PBANKA_1013000,8450,10842,9426,801,1772,1857
PBANKA_1455700,2618,3934,3357,273,1089,1251
PBANKA_1122600,2274,3746,3164,174,561,414
PBANKA_1440100,7535,12007,10362,636,1468,1335
PBANKA_0932600,51351,57148,60088,9254,14678,17821
PBANKA_0901800,6646,11551,8289,252,871,570
PBANKA_1001500,6240,8092,7019,397,1251,1088
PBANKA_1452600,3784,6553,5195,325,767,739
PBANKA_0831100,12951,17685,15617,1044,2025,2324
PBANKA_1116200,3831,6186,5221,191,577,565
PBANKA_1106100,47219,55097,52143,3450,6462,7415
PBANKA_0927100,1125,1588,1286,74,597,510
PBANKA_1200021,2,0,0,0,0,0
PBANKA_0914900,2431,3384,2634,142,457,453
PBANKA_1224700,9136,12275,10359,701,1559,1458
PBANKA_1204200,110441,123234,106380,9682,19517,20221
PBANKA_1112500,4906,6466,5187,284,690,579
PBANKA_0300200,63,120,103,6,37,18
PBANKA_0937700,10867,20067,13483,690,1955,1769
PBANKA_0710600,5077,7203,5978,451,1185,1124
PBANKA_1013300,5217,5979,4995,318,744,736
PBANKA_0615900,154,237,220,19,31,55
PBANKA_0617600,3566,4799,3411,112,254,341
PBANKA_0212900,4656,7980,5994,269,755,795
PBANKA_0314300,3591,4963,4834,206,679,820
PBANKA_1453800,1497,2076,1710,138,375,479
PBANKA_0008901,1,1,1,0,0,0
PBANKA_1017100,8818,12879,10864,525,1520,1382
PBANKA_0505500,3691,5459,4875,531,1142,1187
PBANKA_1428100,9403,12762,10577,512,1522,1384
PBANKA_0608800,1405,1486,1358,99,253,215
PBANKA_1434900,3685,4296,3883,508,927,1082
PBANKA_1108400,1803,3440,2700,146,459,366
PBANKA_0818700,326,623,579,32,124,137
PBANKA_1011700,12403,15025,12335,639,1335,1520
PBANKA_0206900,537,1009,941,65,158,108
PBANKA_1022700,5608,7724,5828,327,983,930
PBANKA_1034900,11129,18570,16352,1223,2574,2632
PBANKA_0206100,3427,4190,4069,244,618,835
PBANKA_1132100,1457,2103,1867,200,671,671
PBANKA_0619200,58246,71353,65811,5488,11919,15294
PBANKA_API00051,0,0,0,0,0,0
PBANKA_1023200,4185,7338,5175,499,2436,1961
